date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side
2025-06-06,A,002891,中宠股份,0.125,缩量回踩确认,confirming,-0.19772032224612324,51.71494802801489,32.55,4016.0,long
2025-06-06,A,003032,传智教育,0.125,缩量回踩确认,confirming,,,8.01,4016.0,long
2025-06-06,A,002187,广百股份,0.125,观察,watch,-0.7342167379197921,1.783405688558195,5.21,1006.0,long
2025-06-06,A,601949,中国出版,0.125,观察,watch,0.8210599965016621,11.873311177190836,5.36,1006.0,long
2025-06-06,A,000008,神州高铁,0.125,观察,watch,,,2.35,1000.0,long
2025-06-06,A,000417,合百集团,0.125,观察,watch,0.016404076830890624,5.712190911789605,5.64,1000.0,long
2025-06-06,A,000430,张家界,0.125,观察,watch,,,6.29,1000.0,long
2025-06-06,A,000596,古井贡酒,0.125,观察,watch,0.1404790935042748,170.84376820694038,92.59,1000.0,long
2025-06-06,A,603739,蔚蓝生物,-0.125,观察,watch,0.0,13.71,11.12,1000.0,short
2025-06-06,A,603755,日辰股份,-0.125,观察,watch,-0.14427995979856634,22.33429304925742,21.26,1000.0,short
2025-06-06,A,603777,来伊份,-0.125,观察,watch,,,12.83,1000.0,short
2025-06-06,A,603779,威龙股份,-0.125,观察,watch,-0.795285897312298,0.05591907957202764,6.66,1000.0,short
2025-06-06,A,605016,百龙创园,-0.125,观察,watch,0.0,27.17,21.59,1000.0,short
2025-06-06,A,605108,同庆楼,-0.125,观察,watch,-0.42436774999723537,12.053739315057893,12.76,1000.0,short
2025-06-06,A,605388,均瑶健康,-0.125,观察,watch,,,6.12,1000.0,short
2025-06-06,A,605589,圣泉集团,-0.125,观察,watch,0.4372630922939176,40.343975000690264,33.16,1000.0,short
2025-06-13,A,002891,中宠股份,0.125,缩量回踩确认,confirming,-0.25804442577543396,50.63846794082663,32.55,4016.0,long
2025-06-13,A,003032,传智教育,0.125,缩量回踩确认,confirming,,,8.01,4016.0,long
2025-06-13,A,002187,广百股份,0.125,观察,watch,-0.7423681793758884,1.7390147892127534,5.21,1006.0,long
2025-06-13,A,601949,中国出版,0.125,观察,watch,0.7941664529559957,11.626198615154854,5.36,1006.0,long
2025-06-13,A,000008,神州高铁,0.125,观察,watch,,,2.35,1000.0,long
2025-06-13,A,000417,合百集团,0.125,观察,watch,0.0,5.57,5.64,1000.0,long
2025-06-13,A,000430,张家界,0.125,观察,watch,,,6.29,1000.0,long
2025-06-13,A,000596,古井贡酒,0.125,观察,watch,0.17191192179458104,158.38389623053763,92.59,1000.0,long
2025-06-13,A,603739,蔚蓝生物,-0.125,观察,watch,0.0,13.54,11.12,1000.0,short
2025-06-13,A,603755,日辰股份,-0.125,观察,watch,-0.1261649996863331,22.291530858001643,21.26,1000.0,short
2025-06-13,A,603777,来伊份,-0.125,观察,watch,,,12.83,1000.0,short
2025-06-13,A,603779,威龙股份,-0.125,观察,watch,-0.7882921830777613,0.05475515063275096,6.66,1000.0,short
2025-06-13,A,605016,百龙创园,-0.125,观察,watch,0.0,20.86,21.59,1000.0,short
2025-06-13,A,605108,同庆楼,-0.125,观察,watch,-0.397814210417057,11.802841475825684,12.76,1000.0,short
2025-06-13,A,605388,均瑶健康,-0.125,观察,watch,,,6.12,1000.0,short
