date,symbol,combo_id,state_code,state,score,entry,close,stock_name,pattern_ok,pe_ttm,pb,fair_price,upside,upside_raw,undervalued,pe_ref,industry,close_basic
2025-06-06,000008,6,invalid,作废,5.0,False,2.85,神州高铁,False,,2.5895,,,,False,36.438500000000005,运输设备,2.85
2025-06-06,000417,6,watch,观察,0.0,False,5.47,合百集团,False,27.2859,0.9173,5.712190911789605,0.016404076830890624,0.016404076830890624,True,27.7335,百货,5.62
2025-06-06,000430,6,watch,观察,0.0,False,6.63,张家界,False,,11.929,,,,False,69.9606,旅游景点,7.62
2025-06-06,000596,4,watch,观察,0.0,False,137.93,古井贡酒,False,13.6967,2.9925,170.84376820694038,0.1404790935042748,0.1404790935042748,True,15.6208,白酒,149.8
2025-06-06,000681,6,invalid,作废,5.0,False,20.35,视觉中国,False,117.8501,3.9785,6.298274205961643,-0.6908063718231889,-0.6908063718231889,False,36.438500000000005,互联网,20.37
2025-06-06,000793,6,watch,观察,0.0,False,2.55,*ST华闻,False,,28.7402,,,,False,36.438500000000005,出版业,2.67
2025-06-06,000929,6,confirming,缩量回踩确认,42.0,False,8.49,兰州黄河,True,,3.2138,,,,False,36.438500000000005,啤酒,8.54
2025-06-06,000957,4,watch,观察,0.0,False,11.0,中通客车,False,23.3336,2.191,17.42781482497343,0.5616321527753969,0.5616321527753969,True,36.438500000000005,汽车整车,11.16
2025-06-06,000980,6,candidate,止跌缩量候选,6.0,False,2.05,众泰汽车,False,,78.4328,,,,False,36.438500000000005,汽车配件,2.05
2025-06-06,001211,6,watch,观察,0.0,False,16.13,双枪科技,False,60.3162,1.8495,13.665298377550313,-0.3958754032913213,-0.3958754032913213,False,36.438500000000005,家居用品,22.62
2025-06-06,001215,6,candidate,止跌缩量候选,6.0,False,29.38,千味央厨,False,40.4546,1.6097,23.311777152660017,-0.20654264286385238,-0.20654264286385238,False,32.099,食品,29.38
2025-06-06,001313,6,watch,观察,0.0,False,7.79,粤海饲料,False,,2.1685,,,,False,36.438500000000005,饲料,7.91
2025-06-06,002023,6,invalid,作废,5.0,False,11.02,海特高新,False,120.577,1.7943,3.145913275334434,-0.6977989168746941,-0.6977989168746941,False,36.438500000000005,航空,10.41
2025-06-06,002124,6,invalid,作废,5.0,False,3.03,天邦食品,False,6.8577,1.7705,25.764256529157006,1.1833107886952696,7.503054960117824,True,58.3114,农业综合,3.03
2025-06-06,002131,6,invalid,作废,5.0,False,3.55,利欧股份,False,281.0282,1.8766,0.4667809138015331,-0.795285897312298,-0.8703386350551297,False,36.438500000000005,互联网,3.6
2025-06-06,002187,4,watch,观察,0.0,False,6.67,广百股份,False,104.3463,1.1512,1.783405688558195,-0.7342167379197921,-0.7342167379197921,False,27.7335,百货,6.71
2025-06-06,002194,6,candidate,止跌缩量候选,6.0,False,15.67,武汉凡谷,False,183.6193,4.2947,3.1096474880363885,-0.795285897312298,-0.8015540850008687,False,36.438500000000005,通信设备,15.67
2025-06-06,002306,6,watch,观察,0.0,False,1.97,ST云网,False,,,,,,False,36.438500000000005,酒店餐饮,1.97
2025-06-06,002354,6,invalid,作废,5.0,False,6.39,天娱数科,False,,8.6215,,,,False,36.438500000000005,互联网,6.39
2025-06-06,002494,6,watch,观察,0.0,False,4.86,华斯股份,False,172.8405,1.4892,1.0245926735921271,-0.7891784622238421,-0.7891784622238421,False,36.438500000000005,服饰,4.86
2025-06-06,002515,6,confirming,缩量回踩确认,48.0,False,6.05,金字火腿,True,114.5784,2.7566,1.6668852942613965,-0.7198512110485048,-0.7198512110485048,False,32.099,食品,5.95
2025-06-06,002534,6,candidate,止跌缩量候选,6.0,False,11.23,西子洁能,False,35.3659,2.0985,11.00138008646747,-0.024700346944373064,-0.024700346944373064,False,34.49235,专用机械,11.28
