date,variant,equity,day_return,n_long,n_short
2025-06-03,A,1000000.0,0.0,0,0
2025-06-04,A,1000000.0,0.0,0,0
2025-06-05,A,1000000.0,0.0,0,0
2025-06-06,A,998800.0,0.0,8,8
2025-06-09,A,1017305.6134993184,0.01852784691561711,8,8
2025-06-10,A,1017994.9509729793,0.0006776109995989404,8,8
2025-06-11,A,1022739.8057697705,0.004660980678004578,8,8
2025-06-12,A,1038831.7458096349,0.015734148557709424,8,8
2025-06-13,A,1037585.1477146634,0.0,8,8
2025-06-16,A,1029207.2470774932,-0.008074422282954768,8,8
2025-06-17,A,1017845.5970578996,-0.011039224657478766,8,8
2025-06-18,A,1003143.4126969205,-0.014444415148501935,8,8
2025-06-19,A,1011158.777532034,0.00799024818750943,8,8
2025-06-20,A,1009945.3869989956,0.0,8,8
2025-06-23,A,1007029.1264821276,-0.002887542786381314,8,8
2025-06-24,A,1012154.0911133972,0.005089192056611888,8,8
2025-06-25,A,1008740.9307601238,-0.003372174635503239,8,8
2025-06-26,A,997060.5699653538,-0.011579148261554525,8,8
2025-06-27,A,995864.0972813955,0.0,8,8
2025-06-30,A,1000036.7898860412,0.004190022128558235,8,8
2025-07-01,A,1011196.5518385567,0.011159351401249074,8,8
2025-07-02,A,1019958.2127728077,0.008664646767555365,8,8
2025-07-03,A,1013163.4526629188,-0.006661802439353728,8,8
2025-07-04,A,1011947.6565197234,0.0,8,8
2025-07-07,A,1016999.5185896322,0.0049922167785666355,8,8
2025-07-08,A,1025016.9606709568,0.007883427607166468,8,8
2025-07-09,A,1017110.5526230318,-0.007713441192962939,8,8
2025-07-10,A,1013284.5542196529,-0.003761634753972398,8,8
2025-07-11,A,1012068.6127545893,0.0,8,8
2025-07-14,A,1022251.76001897,0.010061716306629415,8,8
2025-07-15,A,1035535.6587262442,0.012994742808784862,8,8
2025-07-16,A,1012989.9677538474,-0.02177200831512556,8,8
2025-07-17,A,1022952.9008651753,0.009835174511569234,8,8
2025-07-18,A,1021725.3573841371,0.0,8,8
2025-07-21,A,1014812.1373447196,-0.00676622146005755,8,8
2025-07-22,A,1008247.0273115587,-0.006469286079233083,8,8
2025-07-23,A,1001960.8127109257,-0.006234796067184967,8,8
2025-07-24,A,980292.2543766352,-0.021626153497623965,8,8
2025-07-25,A,979115.9036713833,0.0,8,8
2025-07-28,A,989742.2371148432,0.010852988296497432,8,8
2025-07-29,A,993530.7290358773,0.003827756135857993,8,8
2025-07-30,A,997315.155711801,0.0038090685726410722,8,8
2025-07-31,A,993802.2702037577,-0.0035223424490487265,8,8
2025-08-01,A,992609.7074795133,0.0,8,8
2025-08-04,A,995804.0243600578,0.0032180995777844057,8,8
2025-08-05,A,992354.1044334874,-0.0034644567024997575,8,8
2025-08-06,A,1004810.4378179695,0.012552307013022457,8,8
2025-08-07,A,995523.0035460304,-0.00924297153213055,8,8
2025-08-08,A,994328.3759417752,0.0,8,8
2025-08-11,A,1002533.2272246248,0.008251651548291203,8,8
2025-08-12,A,1033566.1567369138,0.03095451469294376,8,8
2025-08-13,A,1087576.702121257,0.05225649566048153,8,8
2025-08-14,A,1063091.1489346162,-0.022513863287879493,8,8
2025-08-15,A,1061815.4395558948,0.0,8,8
2025-08-18,A,1061251.8916921827,-0.0005307399409711366,8,8
2025-08-19,A,1056364.9091442227,-0.004604922343335205,8,8
2025-08-20,A,1046117.010864544,-0.009701096837815976,8,8
2025-08-21,A,1050363.1345594488,0.004058937624382697,8,8
2025-08-22,A,1049102.6987979775,0.0,8,8
2025-08-25,A,1053098.7819138186,0.003809048552081376,8,8
2025-08-26,A,1042802.8798861556,-0.009776767578205697,8,8
2025-08-27,A,1045376.9436168922,0.0024684087284238126,8,8
2025-08-28,A,1027095.6091011642,-0.017487791965715774,8,8
2025-08-29,A,1025863.0943702428,0.0,8,8
2025-09-01,A,1024628.1338127664,-0.0012038258947550118,8,8
2025-09-02,A,1014767.7000713489,-0.009623426700890544,8,8
2025-09-03,A,1001892.238635836,-0.012688087563890324,8,8
2025-09-04,A,969483.8801636279,-0.03234714994532242,8,8
2025-09-05,A,968320.4995074315,0.0,8,8
2025-09-08,A,978789.1918321946,0.010811185273975121,8,8
2025-09-09,A,985860.684927998,0.007224735576172772,8,8
2025-09-10,A,984901.2861783594,-0.0009731585449202218,8,8
2025-09-11,A,974903.7696211062,-0.010150780283825045,8,8
2025-09-12,A,973733.8850975609,0.0,8,8
2025-09-15,A,968476.5635773443,-0.005399135842633032,8,8
2025-09-16,A,969772.1943700267,0.0013378029385621715,8,8
2025-09-17,A,968013.3720990106,-0.0018136447726865845,8,8
2025-09-18,A,944118.593129028,-0.02468434802524465,8,8
2025-09-19,A,942985.6508172732,0.0,8,8
2025-09-22,A,932894.0416563075,-0.010701763226428088,8,8
2025-09-23,A,953201.5464722423,0.021768286546111806,8,8
2025-09-24,A,939092.2778713446,-0.014801978294218629,8,8
2025-09-25,A,932272.8115612981,-0.007261763801853782,8,8
2025-09-26,A,931154.0841874245,0.0,8,8
2025-09-29,A,927257.8667685628,-0.004184288599519831,8,8
2025-09-30,A,926145.1573284406,0.0,8,8
2025-10-09,A,926772.2116478041,0.000677058357862928,8,8
2025-10-10,A,925660.0849938268,0.0,8,8
2025-10-13,A,913861.1084730359,-0.012746554282795558,8,8
2025-10-14,A,900400.6824057612,-0.014729181428637036,8,8
2025-10-15,A,898392.2201393212,-0.002230631657312382,8,8
2025-10-16,A,882301.1285139079,-0.017910987277826057,8,8
2025-10-17,A,881242.3671596912,0.0,8,8
2025-10-20,A,870102.3421283314,-0.012641272647007318,8,8
2025-10-21,A,854185.0313813483,-0.018293607517534338,8,8
2025-10-22,A,881608.3160194546,0.032104618590375805,8,8
2025-10-23,A,886569.6485903735,0.005627592753797692,8,8
2025-10-24,A,885505.7650120651,0.0,8,8
2025-10-27,A,865384.3207805741,-0.022723109240533057,8,8
