track,total_return,annual_return,max_drawdown,sharpe,avg_day_return,trade_days,n_buy,n_sell,n_roundtrips,win_rate,avg_hold_calendar_days,skipped_switches,end_equity,end_holding,end_holding_name,experiment,label
1,0.7278368,1.3536581595340968,-0.27397941745452314,2.198751155025577,0.00414825835800863,161,97,96,96,0.5104166666666666,2.4791666666666665,21,172783.68,000056,*ST皇庭,mplus_top5,M加前五
1,-0.18322020000000006,-0.27150730790777966,-0.44526582604498066,-0.49884835970102737,-0.000666362552268588,161,110,109,109,0.44954128440366975,2.18348623853211,27,81677.98,000056,*ST皇庭,mplus_full,M加全池
1,-0.3336335,-0.4702478040634258,-0.5366806024443335,-0.8003699048113928,-0.0018353705025091751,161,122,121,121,0.4462809917355372,1.975206611570248,7,66636.65,600131,国网信通,q_top5,Q前五
1,-0.39942790000000006,-0.5497991338218509,-0.5518847557698803,-1.0208694466673818,-0.002588327434900239,161,139,138,138,0.45652173913043476,1.7318840579710144,10,60057.21,600131,国网信通,q_full,Q全池
