date,close,pct
2026-01-05,4717.7457,1.8965
2026-01-06,4790.6938,1.5462
2026-01-07,4776.6658,-0.2928
2026-01-08,4737.6536,-0.8167
2026-01-09,4758.9221,0.4489
2026-01-12,4789.9155,0.6513
2026-01-13,4761.0324,-0.603
2026-01-14,4741.9306,-0.4012
2026-01-15,4751.4293,0.2003
2026-01-16,4731.8728,-0.4116
2026-01-19,4734.4556,0.0546
2026-01-20,4718.8782,-0.329
2026-01-21,4723.0692,0.0888
2026-01-22,4723.7091,0.0135
2026-01-23,4702.4966,-0.4491
2026-01-26,4706.964,0.095
2026-01-27,4705.6918,-0.027
2026-01-28,4717.9914,0.2614
2026-01-29,4753.8697,0.7605
2026-01-30,4706.3401,-0.9998
2026-02-02,4605.9799,-2.1324
2026-02-03,4660.1074,1.1752
2026-02-04,4698.6832,0.8278
2026-02-05,4670.4188,-0.6015
2026-02-06,4643.5959,-0.5743
2026-02-09,4719.0559,1.625
2026-02-10,4724.2956,0.111
2026-02-11,4713.8185,-0.2218
2026-02-12,4719.578,0.1222
2026-02-13,4660.4056,-1.2538
2026-02-24,4707.544,1.0115
2026-02-25,4735.8858,0.6021
2026-02-26,4726.8739,-0.1903
2026-02-27,4710.6469,-0.3433
2026-03-02,4728.6688,0.3826
2026-03-03,4655.8962,-1.539
2026-03-04,4602.6247,-1.1442
2026-03-05,4647.6921,0.9792
2026-03-06,4660.439,0.2743
2026-03-09,4615.4551,-0.9652
2026-03-10,4674.7562,1.2848
2026-03-11,4704.4959,0.6362
2026-03-12,4687.5601,-0.36
2026-03-13,4669.14,-0.393
2026-03-16,4671.5591,0.0518
2026-03-17,4637.4392,-0.7304
2026-03-18,4658.3324,0.4505
2026-03-19,4583.2511,-1.6118
2026-03-20,4567.0179,-0.3542
2026-03-23,4417.9971,-3.263
2026-03-24,4474.7224,1.284
2026-03-25,4537.4656,1.4022
2026-03-26,4477.5343,-1.3208
2026-03-27,4502.5698,0.5591
2026-03-30,4491.95,-0.2359
2026-03-31,4450.0493,-0.9328
2026-04-01,4526.0668,1.7082
2026-04-02,4478.9141,-1.0418
2026-04-03,4440.7889,-0.8512
2026-04-07,4440.6162,-0.0039
2026-04-08,4595.556,3.4892
2026-04-09,4566.2237,-0.6383
2026-04-10,4636.5655,1.5405
2026-04-13,4646.1546,0.2068
2026-04-14,4701.2837,1.1866
2026-04-15,4685.2464,-0.3411
2026-04-16,4736.6077,1.0962
2026-04-17,4728.6716,-0.1675
2026-04-20,4757.4419,0.6084
2026-04-21,4767.997,0.2219
2026-04-22,4799.627,0.6634
2026-04-23,4786.3273,-0.2771
2026-04-24,4769.3688,-0.3543
2026-04-27,4770.9469,0.0331
2026-04-28,4758.2083,-0.267
2026-04-29,4810.3468,1.0958
2026-04-30,4807.3069,-0.0632
2026-05-06,4877.0932,1.4517
2026-05-07,4900.5098,0.4801
2026-05-08,4871.9122,-0.5836
2026-05-11,4951.8366,1.6405
2026-05-12,4948.0465,-0.0765
2026-05-13,4998.3417,1.0165
2026-05-14,4914.5971,-1.6754
2026-05-15,4859.5927,-1.1192
2026-05-18,4833.5237,-0.5364
2026-05-19,4852.8832,0.4005
2026-05-20,4850.7,-0.045
2026-05-21,4783.0976,-1.3937
2026-05-22,4845.0956,1.2962
2026-05-25,4921.5974,1.579
2026-05-26,4947.8493,0.5334
2026-05-27,4908.1714,-0.8019
2026-05-28,4914.2133,0.1231
2026-05-29,4892.1213,-0.4496
2026-06-01,4844.2556,-0.9784
2026-06-02,4914.5591,1.4513
2026-06-03,4938.8091,0.4934
2026-06-04,4904.7454,-0.6897
2026-06-05,4816.9199,-1.7906
2026-06-08,4713.6358,-2.1442
2026-06-09,4801.8106,1.8706
2026-06-10,4748.5932,-1.1083
2026-06-11,4722.4122,-0.5513
2026-06-12,4777.3206,1.1627
2026-06-15,4891.7126,2.3945
2026-06-16,4884.2322,-0.1529
2026-06-17,4931.3861,0.9654
2026-06-18,4941.5986,0.2071
2026-06-22,5059.6582,2.3891
2026-06-23,4919.386,-2.7724
2026-06-24,4943.0197,0.4804
2026-06-25,5020.1038,1.5595
2026-06-26,4868.2205,-3.0255
2026-06-29,4926.921,1.2058
2026-06-30,4979.4328,1.0658
2026-07-01,4958.9773,-0.4108
2026-07-02,4812.2957,-2.9579
2026-07-03,4842.1737,0.6209
2026-07-06,4841.998,-0.0036
2026-07-07,4792.2624,-1.0272
2026-07-08,4755.5338,-0.7664
2026-07-09,4876.3125,2.5398
2026-07-10,4780.7867,-1.959
2026-07-13,4695.383,-1.7864
2026-07-14,4796.502,2.1536
