date,variant,period_return,ret_4w,icir_4w,vol_4w,ret_8w,icir_8w,vol_8w,ret_12w,icir_12w,vol_12w
2025-06-06,A,0.02057843271598414,,,,,,,,,
2025-06-13,A,0.004877254879835924,,,,,,,,,
2025-06-20,A,0.007127076414769951,0.025455687595820065,1.6212597463366356,0.007850588918074108,,,,,,
2025-06-27,A,0.017730447560044604,0.032582764010590015,1.566682440023584,0.006932433184544944,,,,,,
2025-07-04,A,-0.014278492947070509,0.05031321157063462,1.8773132532923098,0.006700161984474166,0.05031321157063462,1.8773132532923098,0.006700161984474166,,,
2025-07-11,A,0.022688803381562428,0.01545628590757997,0.33471076226496244,0.011544509207732409,0.03603471862356411,0.5858728147745763,0.012301208629189948,,,
2025-07-18,A,0.028773262711870196,0.033267834409306474,0.5854930290269389,0.014205051452361443,0.05872352200512654,0.7752300800562958,0.012624966341360693,0.05872352200512654,0.7752300800562958,0.012624966341360693
2025-07-25,A,0.026109221630667756,0.05491402070640672,0.8252238205199436,0.01663609900154342,0.08749678471699673,0.9297031765302323,0.013444657380333491,0.08749678471699673,0.9297031765302323,0.013444657380333491
2025-08-01,A,0.0021413752349446202,0.06329279477702987,0.9035358636396128,0.01751252975229853,0.11360600634766449,1.063129490539137,0.013357498705314382,0.11360600634766449,1.063129490539137,0.013357498705314382
2025-08-08,A,0.024166466647928653,0.079712662959045,1.8991434784245942,0.010493238644766513,0.09516894886662497,0.8717839137800385,0.013645719335135214,0.11574738158260911,0.9778993457399967,0.013151476408968663
2025-08-15,A,-0.002810250320499752,0.08119032622541122,1.9131888117512068,0.010609293464231447,0.1144581606347177,1.0297154481944535,0.013894391993852945,0.13991384823053776,1.0821391439943036,0.012929376874225176
2025-08-22,A,-0.01676085335030475,0.04960681319304128,0.9632964200034486,0.012874233767230155,0.104520833899448,0.8774794296803935,0.014889356713683573,0.137103597910038,0.94137573139007,0.013240158026978607
2025-08-29,A,-0.0623297559314866,0.006736738212068771,0.11445646265646571,0.014714630471082905,0.07002953298909864,0.4959121470553511,0.01765169834136023,0.12034274455973326,0.667184082816856,0.015031177009355164
