annual_return,max_drawdown,sharpe,total_return,month_win_rate,avg_day_return,trade_days,long_total_return,short_total_return,long_month_win_rate,short_month_win_rate,long_contrib_share,variant,long_only,rank_ic,icir,ic_count,forward_days,factor_col,rebalance_freq,bench_total_return,bench_annual_return,excess_total,excess_annual
-0.014920949984788101,-0.1725184469820048,-0.08667109848194259,-0.016858325947207153,0.5714285714285714,0.0002519572302757432,285,0.11859249146383122,-0.07851224349767771,0.5,0.35714285714285715,0.601672463561011,A,False,-0.00304045344160657,-0.030521602842158,59,5.0,pattern_factor,weekly,0.19111673749154545,0.16723853213276563,-0.2079750634387526,-0.18215948211755373
0.06956646608379513,-0.2614325814688321,0.3326565179317634,0.07902773102771143,0.5,0.0004803016395712463,285,0.11859249146383122,0.0,0.5,0.0,1.0,A_L,True,-0.00304045344160657,-0.030521602842158,59,5.0,pattern_factor,weekly,0.19111673749154545,0.16723853213276563,-0.11208900646383402,-0.0976720660489705
-0.21749945783180358,-0.4068767236631252,-0.9639985706953337,-0.24223209303656434,0.35714285714285715,-0.0006198143462498323,285,-0.09292122976953843,-0.12031686944603837,0.6428571428571429,0.2857142857142857,-0.43576279338148705,B,False,0.018466346178639598,0.14180663564927587,59,5.0,upside,weekly,0.19111673749154545,0.16723853213276563,-0.4333488305281098,-0.3847379899645692
-0.11137027303478109,-0.2540087720192491,-0.6473788252288358,-0.12500472265432594,0.6428571428571429,-0.00028325251095638176,285,-0.09292122976953843,0.0,0.6428571428571429,0.0,-1.0,B_L,True,0.018466346178639598,0.14180663564927587,59,5.0,upside,weekly,0.19111673749154545,0.16723853213276563,-0.3161214601458714,-0.2786088051675467
-0.04450029398900246,-0.2866840554425494,-0.23752609851769385,-0.05017914241756183,0.35714285714285715,-5.2352200476080137e-05,285,-0.004420346642311945,-0.05587200833076189,0.35714285714285715,0.2857142857142857,-0.07331520960304241,Q,False,-0.002610539486101532,-0.02265895578022265,13,20.0,company_q,monthly,0.19111673749154545,0.16723853213276563,-0.24129587990910728,-0.2117388261217681
-0.011282646696326615,-0.21000016712213765,-0.06512489331225817,-0.012750678688530193,0.35714285714285715,4.4038374117645244e-05,285,-0.004420346642311945,0.0,0.35714285714285715,0.0,-1.0,Q_L,True,-0.002610539486101532,-0.02265895578022265,13,20.0,company_q,monthly,0.19111673749154545,0.16723853213276563,-0.20386741618007564,-0.17852117882909224
0.21074849396726858,-0.25962478533920164,0.8433618579289895,0.24145233128199162,0.6428571428571429,0.0011357362977421318,285,0.336427215141347,-0.01806268585848536,0.7142857142857143,0.2857142857142857,0.9490459790038027,M+,False,-0.041704994220786516,-0.2430448170709835,59,5.0,mud_plus,weekly,0.19111673749154545,0.16723853213276563,0.050335593790446165,0.04350996183450295
0.2517965254264367,-0.25086473279524635,1.022798786339691,0.28915761248365324,0.7142857142857143,0.0011387302424296613,285,0.336427215141347,0.0,0.7142857142857143,0.0,1.0,M+_L,True,-0.041704994220786516,-0.2430448170709835,59,5.0,mud_plus,weekly,0.19111673749154545,0.16723853213276563,0.09804087499210778,0.08455799329367109
-0.3304221758133167,-0.3781417624695903,-1.2602951874995092,-0.36468472678250263,0.35714285714285715,-0.0012005125210781764,285,0.07665627946638387,-0.3856657858061857,0.7142857142857143,0.35714285714285715,0.16580709687994213,M-,False,0.022737799237911107,0.1347005784355523,59,5.0,mud_minus,weekly,0.19111673749154545,0.16723853213276563,-0.5558014642740481,-0.4976607079460823
0.0340331493726167,-0.2716866273409274,0.1499849115653803,0.038574808247686665,0.7142857142857143,0.0003621726696726823,285,0.07665627946638387,0.0,0.7142857142857143,0.0,1.0,M-_L,True,0.022737799237911107,0.1347005784355523,59,5.0,mud_minus,weekly,0.19111673749154545,0.16723853213276563,-0.1525419292438588,-0.13320538276014893
-0.026564796997930906,-0.06123966942612835,-0.3773640274214396,-0.029990856663517085,0.5,-9.699710795724286e-05,285,0.0,0.0,0.0,0.0,0.0,EQ,,-0.0012303683463887826,-0.003943632321707196,49,,,weekly,0.19111673749154545,0.16723853213276563,-0.22110759415506254,-0.19380332913069653
-0.013464274557776545,-0.05977153148682013,-0.20292018502385745,-0.015213976315455291,0.5714285714285714,-4.504644767652558e-05,285,0.0,0.0,0.0,0.0,0.0,ROT,,-0.0015611745322777408,-0.004278841753159441,49,,,weekly+temp,0.19111673749154545,0.16723853213276563,-0.20633071380700074,-0.18070280669054217
