strategy,hold_days,total_return,annual_return,max_drawdown,sharpe,avg_day_return,trade_days,n_open,n_close,n_roundtrips,win_rate,skipped,end_equity,end_long,end_short
stagger_combo,3,-0.14481350000000004,-0.21958998302330734,-0.24374553717157355,-0.8576818735300142,-0.0008533594692166261,159,142,75,38,0.4473684210526316,17,85518.65,600661,
stagger_first,3,-0.16659919999999995,-0.25086356706618407,-0.3148348393628365,-0.8075421665128815,-0.0009533791120967943,159,67,37,38,0.5,16,83340.08,002558,
stagger_second,3,-0.48933209999999994,-0.6553112168511723,-0.5023929619514305,-2.523438737692856,-0.00407961093112795,159,77,39,39,0.28205128205128205,3,51066.79,,
long_strongest,3,0.026455499999999965,0.04225270290392369,-0.3054143550044701,0.07043151701890882,0.0008752324293294229,159,39,38,38,0.5,6,102645.55,600661,
hs300,0,-0.02301300000000006,-0.0362271717664423,-0.1048614059253854,-0.1869626570133947,-7.173657217646842e-05,159,0,0,1,0.0,0,97698.7,000300.SH,
