symbol,name,group,group_rank,industry
002558,巨人网络,M加,1,互联网服务
600857,宁波中百,M加,2,商业连锁
000056,*ST皇庭,M加,3,其他商业
002517,恺英网络,Q,1,游戏Ⅱ
600661,昂立教育,Q,2,教育
603367,辰欣药业,Q,3,化学制药
