date,symbol,pe_ttm,pb,close,industry,pe_ref,fair_price,upside_raw,upside,undervalued,pattern_ok,state_code,state,score,entry,stock_name,mud_plus,mud_minus,r60,r20,vol_ratio,company_q,roe,ocf_to_or,pattern_factor,composite_ac
2025-06-06,000028,24.2825,0.7849,25.38,医药商业,26.605649999999997,27.808149778647174,0.09567178008854116,0.09567178008854116,True,False,,,0.0,False,,0.33999999999999997,0.8,-0.01645175633614926,0.02029520295202958,0.5212210914783129,,,,0.0,0.6114249684741488
2025-06-06,000411,10.6101,1.2341,10.56,医药商业,26.605649999999997,26.480020357960814,1.5075776854129557,1.5,True,False,,,0.0,False,,0.74,0.6,0.02831142568250744,0.035641547861507084,0.9633538650014856,,,,0.0,0.7487200504413619
2025-06-06,000503,,7.4391,10.31,软件服务,26.605649999999997,,,,False,False,,,0.0,False,,0.38,1.0,-0.1119724375538328,-0.048014773776546615,1.4082203174405823,,,,0.0,0.5015384615384615
2025-06-06,000705,55.2255,1.4157,8.49,医药商业,26.605649999999997,4.0901751636472286,-0.518236140913165,-0.518236140913165,False,False,,,0.0,False,,0.82,0.2,0.08914728682170536,0.05771643663739012,0.5493084813761931,,,,0.0,0.34708070617906683
2025-06-06,000950,28.9288,0.7717,5.11,医药商业,26.605649999999997,4.699637437432593,-0.08030578523824017,-0.08030578523824017,False,False,,,0.0,False,,0.72,0.4,-0.011787819253438081,0.04140786749482395,1.9119199121513937,,,,0.0,0.4167528373266078
2025-06-13,000028,24.3781,0.788,25.48,医药商业,26.4553,27.651090281851335,0.08520762487642597,0.08520762487642597,True,False,,,0.0,False,,0.58,0.8,-0.04432013769363152,0.018340210912425547,1.2587582238547455,,,,0.0,0.6011790668348045
2025-06-13,000411,10.5799,1.2306,10.53,医药商业,26.4553,26.330523823476593,1.500524579627407,1.5,True,False,,,0.0,False,,0.7999999999999999,0.6,-0.01553398058252431,0.025278058645096024,0.9482174999182097,,,,0.0,0.7487200504413619
2025-06-13,000503,,7.2588,10.06,软件服务,26.4553,,,,False,False,,,0.0,False,,0.31999999999999995,1.0,-0.22674865488086082,-0.0289575289575289,0.9426908819354275,,,,0.0,0.5015384615384615
2025-06-13,000705,54.51,1.3973,8.38,医药商业,26.4553,4.067059512016145,-0.5146707026233719,-0.5146707026233719,False,False,,,0.0,False,,0.76,0.2,0.004830917874396157,0.030978934324659146,0.5547992837698242,,,,0.0,0.34912988650693566
2025-06-13,000950,28.5325,0.7611,5.04,医药商业,26.4553,4.673081994217121,-0.07280119162358711,-0.07280119162358711,False,False,,,0.0,False,,0.54,0.4,-0.033138401559454134,0.0269151138716357,0.8149710135438719,,,,0.0,0.4269987389659521
2025-06-20,000028,23.7658,0.7682,24.84,医药商业,25.80945,26.976021762364407,0.08599121426587786,0.08599121426587786,True,False,,,0.0,False,,0.52,0.6,-0.04625550660792954,-0.012317518248175285,0.48155193335145524,,,,0.0,0.6032282471626733
2025-06-20,000411,10.2685,1.1944,10.22,医药商业,25.80945,25.68754725617179,1.5134586356332473,1.5,True,False,,,0.0,False,,0.8599999999999999,0.8,-0.016000000000000014,-0.016000000000000014,0.4989100988497493,,,,0.0,0.7487200504413619
2025-06-20,000503,,7.0928,9.83,软件服务,25.80945,,,,False,False,,,0.0,False,,0.31999999999999995,1.0,-0.18894389438943893,-0.0315270935960591,0.4776713990763782,,,,0.0,0.5015384615384615
2025-06-20,000705,52.6236,1.349,8.09,医药商业,25.80945,3.9677720737463793,-0.5095460971883339,-0.5095460971883339,False,False,,,0.0,False,,0.82,0.4,-0.015931372549019662,-0.006188118811881305,0.35378170850346885,,,,0.0,0.3511790668348045
2025-06-20,000950,27.8531,0.7464,4.92,医药商业,25.80945,4.559007579048651,-0.07337244328279446,-0.07337244328279446,False,False,,,0.0,False,,0.48,0.2,-0.03373015873015872,0.004123711340206171,0.3434818098175453,,,,0.0,0.4249495586380832
2025-06-27,000028,23.7945,0.7779,24.87,医药商业,26.05025,27.227708819264958,0.09480131963268823,0.09480131963268823,True,False,,,0.0,False,,0.26,0.6,-0.019170753455193923,0.0031919744642043835,0.5423029114383895,,,,0.0,0.6093757881462799
2025-06-27,000411,10.6201,1.2353,10.57,医药商业,26.05025,25.927358734851836,1.4529194640351784,1.4529194640351784,True,False,,,0.0,False,,0.7999999999999999,0.8,0.024144869215291687,0.000983284169124854,1.2058776638646072,,,,0.0,0.7446216897856242
2025-06-27,000503,,7.7566,10.75,软件服务,26.05025,,,,False,False,,,0.0,False,,0.58,0.2,-0.020947176684881663,0.03664416586306651,2.5989697002890537,,,,0.0,0.5015384615384615
2025-06-27,000705,54.575,1.4131,8.39,医药商业,26.05025,4.0047933577645445,-0.5226706367384334,-0.5226706367384334,False,False,,,0.0,False,,0.8799999999999999,1.0,0.04353233830845782,-0.005924170616113611,0.7962538177145744,,,,0.0,0.34503152585119795
2025-06-27,000950,28.306,0.7585,5.0,医药商业,26.05025,4.601542075884971,-0.07969158482300576,-0.07969158482300576,False,False,,,0.0,False,,0.48,0.4,-0.017857142857142794,0.0122699386503069,0.5153306554345178,,,,0.0,0.41880201765447667
2025-06-30,000028,23.8519,0.7798,24.93,医药商业,26.05065,27.228132957961417,0.09218343192785472,0.09218343192785472,True,False,,,0.0,False,,0.39999999999999997,1.0,-0.011210762331838597,-0.0013586956521738358,0.7386255346968199,0.645,1.8392,-0.0993,0.0,0.6073266078184111
2025-06-30,000411,10.7709,1.2528,10.72,医药商业,26.05065,25.927542545191216,1.4186140433947028,1.4186140433947028,True,False,,,0.0,False,,0.7999999999999999,0.4,0.06282183316168899,0.013752455795677854,1.0717060855079554,0.68,2.15,-0.3158,0.0,0.7302774274905421
2025-06-30,000503,,7.6267,10.57,软件服务,26.05065,,,,False,False,,,0.0,False,,0.43999999999999995,0.2,-0.02580645161290318,0.04240631163708075,1.7278717135515884,0.35,-0.7343,-0.2311,0.0,0.5015384615384615
2025-06-30,000705,54.9653,1.4232,8.45,医药商业,26.05065,4.004853835055935,-0.5260528005850964,-0.5260528005850964,False,False,,,0.0,False,,0.8799999999999999,0.8,0.07506361323155208,0.0011848341232227888,0.8182868888788242,0.535,1.7645,0.0203,0.0,0.3429823455233291
2025-06-30,000950,28.2494,0.757,4.99,医药商业,26.05065,4.601610777574037,-0.07783351150820905,-0.07783351150820905,False,False,,,0.0,False,,0.48,0.6,-0.01002004008016033,0.006109979633401208,0.5757453024553089,0.79,2.5074,-0.0023,0.0,0.4208511979823455
2025-07-04,000028,23.9476,0.7829,25.03,医药商业,26.29665,27.485223968163822,0.09809124922747992,0.09809124922747992,True,False,,,0.0,False,,0.45999999999999996,0.8,0.056801909307875986,0.0009041591320071429,0.8874728969209701,0.645,1.8392,-0.0993,0.0,0.6134741488020177
2025-07-04,000411,10.8613,1.2634,10.81,医药商业,26.29665,26.1724458858516,1.4211328294034784,1.4211328294034784,True,False,,,0.0,False,,0.94,0.2,0.15410199556541038,0.02359882005899716,1.16368001337562,0.68,2.15,-0.3158,0.0,0.7323266078184111
2025-07-04,000503,,7.5041,10.4,软件服务,26.29665,,,,False,False,,,0.0,False,,0.19999999999999998,0.6,-0.003831417624520994,0.008729388942773975,0.8522549563446212,0.35,-0.7343,-0.2311,0.0,0.5015384615384615
2025-07-04,000705,55.6808,1.4418,8.56,医药商业,26.29665,4.042674027672017,-0.5277249967672878,-0.5277249967672878,False,False,,,0.0,False,,0.6799999999999999,0.4,0.16780354706684864,0.01542111506524324,0.874490099299305,0.535,1.7645,0.0203,0.0,0.34093316519546024
2025-07-04,000950,28.6457,0.7676,5.06,医药商业,26.29665,4.645061876651643,-0.08200358168939847,-0.08200358168939847,False,False,,,0.0,False,,0.72,1.0,0.0938864628820959,-0.003976143141153132,1.3531165834453027,0.79,2.5074,-0.0023,0.0,0.4147036569987389
2025-07-11,000028,24.2059,0.7913,25.3,医药商业,26.708849999999998,27.91608264927146,0.1034024762557888,0.1034024762557888,True,False,,,0.0,False,,0.58,1.0,0.04530593180756659,0.007654209815398438,1.6877876885667407,0.645,1.8392,-0.0993,0.0,0.6155233291298865
