annual_return,max_drawdown,sharpe,total_return,month_win_rate,avg_day_return,trade_days,long_total_return,short_total_return,long_month_win_rate,short_month_win_rate,long_contrib_share,variant,long_only,rank_ic,icir,ic_count,forward_days,factor_col,rebalance_freq,bench_total_return,bench_annual_return,excess_total,excess_annual
-0.1723150248444898,-0.3546897470216297,-0.5818360480143506,-0.19558595289271408,0.4,-0.00031874338195016255,290,0.0233427647618214,-0.17955835066004677,0.4666666666666667,0.4666666666666667,0.11504502926604204,A,False,0.0,0.0,0,5.0,pattern_factor,weekly,0.21869704635189802,0.18751868643184322,-0.4142829992446121,-0.359833711276333
-0.011693836831935478,-0.18853808800534644,-0.07281321312856776,-0.01344528877758866,0.4666666666666667,0.00013085149505533735,290,0.0233427647618214,0.0,0.4666666666666667,0.0,1.0,A_L,True,0.0,0.0,0,5.0,pattern_factor,weekly,0.21869704635189802,0.18751868643184322,-0.23214233512948668,-0.1992125232637787
-0.03146540480495419,-0.24078305199269912,-0.09550878610575077,-0.036123506845435416,0.5333333333333333,0.00034101335110695843,290,0.08025657517934115,-0.08088634437993103,0.4666666666666667,0.4666666666666667,0.49804592965576056,B,False,0.0,0.0,0,5.0,upside,weekly,0.21869704635189802,0.18751868643184322,-0.25482055319733343,-0.2189840912367974
0.03589855919584939,-0.28861232712607077,0.11754714283706587,0.04142253238113347,0.4666666666666667,0.0004474724231293956,290,0.08025657517934115,0.0,0.4666666666666667,0.0,1.0,B_L,True,0.0,0.0,0,5.0,upside,weekly,0.21869704635189802,0.18751868643184322,-0.17727451397076455,-0.15162012723599383
0.27567932949269625,-0.24999629671031864,0.6781995144933691,0.32338640262565255,0.5333333333333333,0.0013550682070678497,290,0.01961668247053394,0.28370729057481325,0.3333333333333333,0.6,0.06467237743718078,Q,False,0.06843143532045678,0.13587264673662103,13,20.0,company_q,monthly,0.21869704635189802,0.18751868643184322,0.10468935627375453,0.08816064306085303
0.009099292683203641,-0.2951778341083512,0.02759614011743011,0.01047857381110373,0.3333333333333333,0.00027919003726193726,290,0.01961668247053394,0.0,0.3333333333333333,0.0,1.0,Q_L,True,0.06843143532045678,0.13587264673662103,13,20.0,company_q,monthly,0.21869704635189802,0.18751868643184322,-0.20821847254079429,-0.17841939374863958
-0.1669770990726962,-0.458760828529997,-0.42629238421360877,-0.1896129145544354,0.26666666666666666,-0.00017274446870590223,290,-0.09584991549783783,-0.06465262228803148,0.4666666666666667,0.4,-0.5971862926286795,M+,False,0.02666666666666667,0.05079390674746649,60,5.0,mud_plus,weekly,0.21869704635189802,0.18751868643184322,-0.4083099609063334,-0.3544957855045394
-0.1125211332531526,-0.46014804425662004,-0.29581983717562876,-0.1283531224991291,0.4666666666666667,-6.415790528989394e-05,290,-0.09584991549783783,0.0,0.4666666666666667,0.0,-1.0,M+_L,True,0.02666666666666667,0.05079390674746649,60,5.0,mud_plus,weekly,0.21869704635189802,0.18751868643184322,-0.34705016885102713,-0.3000398196849958
0.9395973967373088,-0.13643468128292224,2.45988151522774,1.14336766172549,0.7333333333333333,0.003171304409071721,290,0.18065095686346644,0.9065343872152163,0.6,0.8666666666666667,0.16616390006301648,M-,False,0.14999999999999997,0.27317918235407646,60,5.0,mud_minus,weekly,0.21869704635189802,0.18751868643184322,0.924670615373592,0.7520787103054656
0.1190631886223592,-0.1951911481866928,0.4442122532215017,0.13820784580814327,0.6,0.0007132752591021055,290,0.18065095686346644,0.0,0.6,0.0,1.0,M-_L,True,0.14999999999999997,0.27317918235407646,60,5.0,mud_minus,weekly,0.21869704635189802,0.18751868643184322,-0.08048920054375475,-0.06845549780948401
0.23342575337412175,-0.09027144182616365,1.589985487462979,0.2730699756842303,0.8,0.0008751796233180928,290,0.0,0.0,0.0,0.0,0.0,EQ,,0.04901962039742468,0.0919691471676328,26,,,weekly,0.21869704635189802,0.18751868643184322,0.05437292933233229,0.04590706694227853
0.2074849133566936,-0.0876900941720794,1.9923756191928534,0.24230706694338555,0.7333333333333333,0.0007698757491023022,290,0.0,0.0,0.0,0.0,0.0,ROT,,0.06118690749623811,0.11339030399803024,26,,,weekly+temp,0.21869704635189802,0.18751868643184322,0.023610020591487535,0.019966226924850394
