date,variant,period_return,ret_4w,icir_4w,vol_4w,ret_8w,icir_8w,vol_8w,ret_12w,icir_12w,vol_12w
2025-06-06,A,0.020603389608243372,,,,,,,,,
2025-06-13,A,-0.006655778649137356,,,,,,,,,
2025-06-20,A,-0.0010469186578643264,0.013947610959106016,0.5116667840857375,0.013629584128690364,,,,,,
2025-06-27,A,-0.006843605350224324,0.01290069230124169,0.3658747917340567,0.011753285179062763,,,,,,
2025-07-04,A,-0.010585694588597705,0.006057086951017365,0.1344283893311316,0.011264523403790114,0.006057086951017365,0.1344283893311316,0.011264523403790114,,,
2025-07-11,A,-0.017376257103434267,-0.025131997245823712,-1.845090730134785,0.0034052522235570233,-0.00452860763758034,-0.08103059912148561,0.011177524754051978,,,
2025-07-18,A,-0.0031612702543113436,-0.03585247570012062,-1.5119569224562341,0.005928157602843084,-0.021904864741014607,-0.3065940909360753,0.011907635855024658,-0.021904864741014607,-0.3065940909360753,0.011907635855024658
2025-07-25,A,-0.0010102054857318299,-0.03796682729656764,-1.806308072212121,0.005254755249207161,-0.02506613499532595,-0.3247766216716277,0.01102565945009499,-0.02506613499532595,-0.3247766216716277,0.01102565945009499
2025-08-01,A,-0.0026589263247966954,-0.032133427432075146,-1.2437783779565925,0.00645883302073221,-0.02607634048105778,-0.3149760377139666,0.010348541380447013,-0.02607634048105778,-0.3149760377139666,0.010348541380447013
2025-08-08,A,-0.0010113296950470252,-0.024206659168274136,-0.918798721094055,0.006586496751826716,-0.04933865641409785,-1.1760166100368459,0.005244255905168722,-0.028735266805854476,-0.3271813853950037,0.009758524064619589
2025-08-15,A,-0.012806618915836121,-0.007841731759886894,-2.029159593278583,0.0009661304840020911,-0.04369420746000752,-0.992269239665765,0.0055043285775347416,-0.0297465965009015,-0.32051580366594434,0.009280851727331584
2025-08-22,A,0.012869308997500495,-0.01748708042141167,-0.8892713459691156,0.004916126135368303,-0.05545390771797931,-1.216959785679871,0.005695947020036413,-0.04255321541673762,-0.41643981188447177,0.009289395534227925
2025-08-29,A,-0.0007671046214392518,-0.003607565938179347,-0.09862958942421024,0.009144228317384161,-0.03574099337025449,-0.5145708766278898,0.00868223285499416,-0.029683906419237127,-0.2467468320621982,0.010025088661102721
2025-09-05,A,-0.0005692343679317702,-0.0017157442348219032,-0.04718829238628497,0.009089883041204174,-0.02592240340309604,-0.3848030435063585,0.008420672549419328,-0.05105440064891975,-0.5833362568199953,0.007293449254471481
2025-09-12,A,-0.0005385936218955667,-0.0012736489077066482,-0.035048835722576464,0.009084816096232236,-0.009115380667593542,-0.17496953754667324,0.0065121197633916765,-0.044967856367714165,-0.5119003665565978,0.007320411565991448
2025-09-19,A,0.0010966945800423566,0.010994376386233906,0.4703391478948144,0.005843855670659943,-0.006492704035177765,-0.12547840996289344,0.006467949383780237,-0.044459531331745406,-0.5049442523176464,0.0073373663078779424
2025-09-26,A,-0.005082636899130799,-0.0007782380312242321,-0.25918896400845737,0.0007506473454622455,-0.004385803969403579,-0.0843770695224835,0.006497327997737166,-0.036519231401478724,-0.41223426489104215,0.007382378280128966
2025-09-30,A,-0.0010312785347250664,-0.005093770308915779,-0.553625898868531,0.002300186063967625,-0.0068095145437376825,-0.12812272685097809,0.006643546690644856,-0.03101617371201182,-0.36591312265517895,0.007063647031602487
2025-10-10,A,-0.020745040242828083,-0.0055558144757090755,-0.6109676664129577,0.0022733668167448724,-0.006829463383415724,-0.1284968433519018,0.006643610073665911,-0.014671195143302618,-0.2231839877629591,0.005477989740795051
2025-10-17,A,-0.007751410702992789,-0.025762261096641592,-0.7531245668324512,0.008551792834548764,-0.014767884710407686,-0.21350925352355565,0.008645927791590074,-0.03225496513181936,-0.3490252716279681,0.007701200971630614
2025-10-24,A,-0.0013317905106632333,-0.03461036637967674,-1.1724087432318844,0.007380183442736264,-0.03538860441090097,-0.6565172814019635,0.006737942285260598,-0.03899617034908032,-0.41643777135794935,0.007803520924210533
2025-10-31,A,-0.012127579791765042,-0.030859519991209172,-0.9658688951123046,0.00798750227576721,-0.03595329030012495,-0.6705571139759468,0.006702130502901244,-0.037669034534946855,-0.4013922390162446,0.007820495530603745
2025-11-07,A,-0.0009338827255952475,-0.04195582124824915,-1.486262636780522,0.007057269053592714,-0.04751163572395822,-0.8555304191119598,0.00694183904256661,-0.04878528463166487,-0.49794699600243875,0.008164403879548983
2025-11-14,A,0.015506469331590278,-0.022144663731016312,-1.185636049818425,0.004669363700270346,-0.047906924827657904,-0.8673095830231508,0.006904530655113715,-0.036912548441424,-0.3966913622962252,0.007754254304017324
