date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side,position_pct,position_scale,temp_bucket,used_gbm,w_A,w_B,w_Q,w_M+,w_M-
2025-06-06,A,000009,,0.1,,,-0.6412408839535549,2.9023612488157404,8.09,0.0,long,,,,,,,,,
2025-06-06,A,000025,,0.1,,,-0.5201966976700652,8.708429937288317,18.15,0.0,long,,,,,,,,,
2025-06-06,A,000028,,0.1,,,0.19134356017708232,30.23629955729435,25.38,0.0,long,,,,,,,,,
2025-06-06,A,000069,,0.1,,,,,2.34,0.0,long,,,,,,,,,
2025-06-06,A,000411,,0.1,,,1.368064009148891,28.792200639013775,10.56,0.0,long,,,,,,,,,
2025-06-06,A,000501,,0.1,,,1.143414454370204,19.462203245681454,9.08,0.0,long,,,,,,,,,
2025-06-06,A,000503,,0.1,,,,,10.31,0.0,long,,,,,,,,,
2025-06-06,A,000572,,0.1,,,,,4.15,0.0,long,,,,,,,,,
2025-06-06,A,000603,,0.1,,,-0.07618952748393715,14.226681276747367,15.4,0.0,long,,,,,,,,,
2025-06-06,A,000630,,0.1,,,0.001694313119995794,3.2555065176399864,3.25,0.0,long,,,,,,,,,
2025-06-06,A,603610,,-0.1,,,-0.004663655845930315,12.013709673939621,12.07,0.0,short,,,,,,,,,
2025-06-06,A,603615,,-0.1,,,,,21.27,0.0,short,,,,,,,,,
2025-06-06,A,603630,,-0.1,,,-0.8,3.2542691415194267,22.93,0.0,short,,,,,,,,,
2025-06-06,A,603839,,-0.1,,,,,7.18,0.0,short,,,,,,,,,
2025-06-06,A,603900,,-0.1,,,,,11.1,0.0,short,,,,,,,,,
2025-06-06,A,603979,,-0.1,,,0.0,40.71,40.71,0.0,short,,,,,,,,,
2025-06-06,A,605009,,-0.1,,,0.10263937795764888,70.38147149503672,63.83,0.0,short,,,,,,,,,
2025-06-06,A,605199,,-0.1,,,,,9.59,0.0,short,,,,,,,,,
2025-06-06,A,605388,,-0.1,,,,,10.95,0.0,short,,,,,,,,,
2025-06-06,A,605599,,-0.1,,,0.346224820195421,23.141604659159288,17.19,0.0,short,,,,,,,,,
2025-06-13,A,000009,,0.1,,,-0.6496384484272506,2.8449357987707242,8.12,0.0,long,,,,,,,,,
2025-06-13,A,000025,,0.1,,,-0.5304657203324571,8.53613320435593,18.18,0.0,long,,,,,,,,,
2025-06-13,A,000028,,0.1,,,0.17041524975285194,29.822180563702666,25.48,0.0,long,,,,,,,,,
2025-06-13,A,000069,,0.1,,,,,2.27,0.0,long,,,,,,,,,
