symbol,name,group,group_rank,industry
600667,太极实业,M加,1,半导体
000056,*ST皇庭,M加,2,其他商业
600985,淮北矿业,M加,3,煤炭开采
600131,国网信通,Q,1,通信设备
600989,宝丰能源,Q,2,化工原料
000933,神火股份,Q,3,铝
