type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,600435,2025-07-25,2025-08-12,15.77,17.17,1787,2501.8,8.88,6273.43,12,208.48,,-0.31,2.53
long,600570,2025-08-19,2025-08-27,37.31,38.02,747,530.37,1.9,6803.8,6,88.4,,-1.58,2.91
long,601360,2025-08-27,2025-09-01,11.77,11.46,2461,-762.91,-2.63,6040.89,3,-254.3,,-0.64,0.34
long,603501,2025-08-27,2025-09-05,142.62,129.84,195,-2492.1,-8.96,3548.79,7,-356.01,,-16.39,4.87
long,002463,2025-09-01,2025-09-09,68.91,59.22,408,-3953.52,-14.06,-404.73,6,-658.92,,-10.22,3.3
long,603392,2025-09-12,2025-09-22,60.66,57.2,401,-1387.46,-5.7,-1792.19,6,-231.24,,-3.49,0.64
long,002463,2025-09-12,2025-09-29,71.05,72.96,355,678.05,2.69,-1114.14,11,61.64,,-2.68,13.4
long,603501,2025-09-22,2025-10-13,143.48,137.22,160,-1001.6,-4.36,-2115.74,9,-111.29,,-6.26,13.48
long,600435,2025-10-14,2025-11-04,15.2,14.02,1556,-1836.08,-7.76,-3951.82,15,-122.41,,-1.3,0.19
long,601939,2025-10-21,2025-11-19,9.24,9.48,2526,606.24,2.6,-3345.58,21,28.87,,-0.18,0.47
long,601360,2025-11-04,2025-11-24,12.86,13.18,1765,564.8,2.49,-2780.78,14,40.34,,-0.57,1.38
long,601360,2025-11-25,2025-11-28,14.04,13.71,1702,-561.66,-2.35,-3342.44,3,-187.22,,-0.74,0.35
