type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,000738,2024-08-14,2024-08-19,20.08,19.73,1240,-434.0,-1.74,-434.0,3,-144.67,,-0.44,0.2
long,600435,2024-08-13,2024-08-19,8.32,8.21,3015,-331.65,-1.32,-765.65,4,-82.91,,-0.17,0.08
long,603392,2024-09-10,2024-09-13,67.88,68.23,363,127.05,0.52,-638.6,3,42.35,,-1.13,1.88
long,601360,2024-12-18,2024-12-19,11.39,11.32,2178,-152.46,-0.61,-791.06,1,-152.46,,-0.15,0.15
long,601939,2025-01-14,2025-01-21,8.12,8.09,3037,-91.11,-0.37,-882.17,5,-18.22,,-0.06,0.16
long,600435,2025-03-31,2025-04-08,10.76,10.18,2240,-1299.2,-5.39,-2181.37,5,-259.84,,-0.74,0.6
long,002463,2025-10-15,2025-10-20,66.76,67.03,363,98.01,0.4,-2083.36,3,32.67,,-2.76,1.95
