date,symbol,combo_id,state_code,state,score,entry,close,stock_name,pattern_ok,pe_ttm,pb,fair_price,upside,upside_raw,undervalued,pe_ref,industry,close_basic,mud_plus,mud_minus,r60,r20,vol_ratio,company_q,roe,ocf_to_or,pattern_factor,composite_ac
2025-06-06,000008,6,watch,观察,0.0,False,2.37,神州高铁,False,,2.5895,,,,False,35.7415,运输设备,2.85,0.5258620689655172,0.5344827586206896,0.028880866425992746,0.014234875444839812,0.7986108302282644,,,,1000.0,0.4573317307692308
2025-06-06,000060,6,watch,观察,0.0,False,6.31,中金岭南,False,15.3787,1.231,4.199921482309948,-0.0849844265119939,-0.0849844265119939,False,14.07175,铅锌,4.59,0.44827586206896547,0.5689655172413793,-0.04487179487179482,0.009029345372460584,1.4352802392182642,,,,1000.0,0.4347337815100561
2025-06-06,000417,6,watch,观察,0.0,False,5.72,合百集团,False,27.2859,0.9173,5.712190911789605,0.016404076830890624,0.016404076830890624,True,27.7335,百货,5.62,0.4448275862068965,0.8448275862068966,0.02434456928838946,-0.04703832752613246,0.49466476492719524,,,,1000.0,0.5000520223710693
2025-06-06,000430,6,watch,观察,0.0,False,6.31,张家界,False,,11.929,,,,False,69.9606,旅游景点,7.62,0.5775862068965517,0.21551724137931033,0.11055276381909551,0.08866995073891637,0.5528553037425312,,,,1000.0,0.4573317307692308
2025-06-06,000506,4,watch,观察,0.0,False,14.52,招金黄金,False,,15.6702,,,,False,35.7415,黄金,8.92,0.9948275862068965,0.04310344827586207,0.7055449330783938,0.2908827785817656,4.023023100048643,,,,1000.0,0.4573317307692308
2025-06-06,000596,4,invalid,作废,5.0,False,94.95,古井贡酒,False,13.6967,2.9925,170.84376820694038,0.1404790935042748,0.1404790935042748,True,15.6208,白酒,149.8,0.19310344827586207,0.9655172413793104,-0.1498397435897436,-0.09619291003210806,0.8746480298596125,,,,5.0,0.32312109469788886
2025-06-06,000628,6,watch,观察,0.0,False,36.67,高新发展,False,528.0657,7.4054,3.0092223183592495,-0.8,-0.9323161871714069,False,35.7415,建筑工程,44.46,0.23793103448275862,0.9051724137931034,-0.14662813102119465,-0.07536534446764087,0.5732931147404681,,,,1000.0,0.24193363305950868
2025-06-06,000681,6,watch,观察,0.0,False,17.96,视觉中国,False,117.8501,3.9785,19.073433747616676,-0.06365077331287794,-0.06365077331287794,False,110.34885,互联网,20.37,0.19310344827586207,0.9482758620689655,-0.1908548707753478,-0.09515340151178286,0.6396916652733895,,,,1000.0,0.44095014818290823
2025-06-06,000688,6,watch,观察,0.0,False,27.9,国城矿业,False,29.1957,4.1521,6.198265669259515,-0.5180197768849522,-0.5180197768849522,False,14.07175,铅锌,12.86,0.5327586206896552,0.19827586206896552,-0.0243531202435312,0.09106382978723415,1.0990512567540336,,,,1000.0,0.3331379381253836
2025-06-06,000793,6,watch,观察,0.0,False,2.29,*ST华闻,False,,28.7402,,,,False,35.7415,出版业,2.67,0.33275862068965517,0.853448275862069,-0.0957446808510638,-0.04850746268656725,1.0606370874312026,,,,1000.0,0.4573317307692308
2025-06-06,000929,6,watch,观察,0.0,False,8.49,兰州黄河,False,,3.2138,,,,False,35.7415,啤酒,8.54,0.7163793103448275,0.0603448275862069,0.31587057010785813,0.21999999999999997,0.5944127356105061,,,,1000.0,0.4573317307692308
2025-06-06,000957,4,invalid,作废,5.0,False,10.37,中通客车,False,23.3336,2.191,17.094453491960092,0.531761065587822,0.531761065587822,True,35.7415,汽车整车,11.16,0.4051724137931034,0.8189655172413793,0.01851851851851838,-0.04013961605584648,0.49750303632880805,,,,5.0,0.389181588295959
2025-06-06,000980,6,watch,观察,0.0,False,1.72,众泰汽车,False,,78.4328,,,,False,35.7415,汽车配件,2.05,0.09913793103448276,0.9137931034482759,-0.1992187500000001,-0.08071748878923779,0.5255781546676861,,,,1000.0,0.4573317307692308
2025-06-06,001211,6,watch,观察,0.0,False,18.86,双枪科技,False,60.3162,1.8495,13.403906910581238,-0.40743117106183746,-0.40743117106183746,False,35.7415,家居用品,22.62,0.6387931034482759,0.5517241379310345,0.03067092651757175,0.010018785222291715,0.9766282750724052,,,,1000.0,0.35763227844826356
2025-06-06,001215,6,watch,观察,0.0,False,31.35,千味央厨,False,40.4546,1.6097,23.311777152660017,-0.20654264286385238,-0.20654264286385238,False,32.099,食品,29.38,0.5,0.2413793103448276,-0.0033921302578019397,0.07304601899196483,0.8333351020668508,,,,1000.0,0.4051364536199095
2025-06-06,001313,6,watch,观察,0.0,False,7.2,粤海饲料,False,,2.1685,,,,False,35.7415,饲料,7.91,0.3568965517241379,0.9396551724137931,-0.13636363636363635,-0.09101516919486585,2.345848166626964,,,,1000.0,0.4573317307692308
2025-06-06,002023,6,watch,观察,0.0,False,9.35,海特高新,False,120.577,1.7943,3.0857378687477715,-0.703579455451703,-0.703579455451703,False,35.7415,航空,10.41,0.5474137931034483,0.3879310344827586,-0.032527881040892215,0.03685258964143445,1.160688248582052,,,,1000.0,0.2845203838481522
2025-06-06,002124,6,watch,观察,0.0,False,2.22,天邦食品,False,6.8577,1.7705,25.764256529157006,1.4422725916637615,7.503054960117824,True,58.3114,农业综合,3.03,0.4853448275862069,1.0,0.09782608695652173,-0.15598885793871864,0.3309669138717394,,,,1000.0,0.6745741971715888
2025-06-06,002131,6,watch,观察,0.0,False,4.66,利欧股份,False,281.0282,1.8766,1.4135800606487177,-0.6073388720420229,-0.6073388720420229,False,110.34885,互联网,3.6,0.1103448275862069,0.9310344827586207,-0.20403587443946192,-0.08740359897172245,0.5388773819830107,,,,1000.0,0.30335504705097277
2025-06-06,002132,6,watch,观察,0.0,False,3.84,恒星科技,False,223.8065,1.3489,0.5413769707314132,-0.8,-0.8403017785453059,False,35.7415,钢加工,3.39,0.8336206896551723,0.4396551724137931,0.14089347079037795,0.02786377708978316,1.185913291842023,,,,1000.0,0.24193363305950868
2025-06-06,002169,6,watch,观察,0.0,False,10.85,智光电气,False,,1.8626,,,,False,35.7415,电气设备,6.38,0.6629310344827586,0.5603448275862069,0.034653465346534684,0.009661835748792313,1.425367318362076,,,,1000.0,0.4573317307692308
2025-06-06,002187,4,confirming,缩量回踩确认,22.0,False,5.29,广百股份,True,104.3463,1.1512,1.783405688558195,-0.7342167379197921,-0.7342167379197921,False,27.7335,百货,6.71,0.19741379310344825,0.9913793103448276,-0.08379120879120883,-0.11420982735723773,0.4019704852439048,,,,4022.0,0.5433568392424105
2025-06-06,002194,6,candidate,止跌缩量候选,6.0,False,8.77,武汉凡谷,False,183.6193,4.2947,6.927699103525609,-0.5579005039230627,-0.5579005039230627,False,81.178,通信设备,15.67,0.5560344827586207,0.08620689655172414,0.16505576208178452,0.19709702062643242,0.6785335218783577,,,,2006.0,0.5715402391088684
2025-06-06,002212,4,watch,观察,0.0,False,6.57,天融信,False,84.1997,0.9385,4.01128215421195,-0.4593959360900336,-0.4593959360900336,False,45.5187,软件服务,7.42,0.3129310344827586,0.7672413793103449,-0.1894852135815992,-0.02759526938239154,1.9908357419098368,,,,1000.0,0.34510676351042724
2025-06-06,002266,6,watch,观察,0.0,False,4.61,浙富控股,False,17.8747,1.4444,6.378590130184003,0.9995580345404398,0.9995580345404398,True,35.7415,环境保护,3.19,0.24913793103448273,0.7155172413793104,-0.051987767584097844,-0.02208201892744477,0.8375569889986272,,,,1000.0,0.6386677210164581
2025-06-06,002306,6,watch,观察,0.0,False,1.7,ST云网,False,,,,,,False,35.7415,酒店餐饮,1.97,0.3025862068965517,0.13793103448275862,-0.24230769230769234,0.12571428571428567,1.1197049720787573,,,,1000.0,0.4573317307692308
2025-06-06,002315,4,watch,观察,0.0,False,26.89,焦点科技,False,26.9476,5.8145,169.202989579777,1.4422725916637615,3.0949416645638195,True,110.34885,互联网,41.32,0.28103448275862064,0.8275862068965517,-0.12287173666288309,-0.04273768968720959,0.7650764481810278,,,,1000.0,0.6745741971715888
2025-06-06,002354,6,watch,观察,0.0,False,6.51,天娱数科,False,,8.6215,,,,False,110.34885,互联网,6.39,0.2603448275862069,0.9568965517241379,-0.13297150610583452,-0.09618104667609628,0.6194471494678694,,,,1000.0,0.4573317307692308
2025-06-06,002364,6,watch,观察,0.0,False,35.48,中恒电气,False,76.1137,3.6932,7.5414608670975145,-0.5304196222230688,-0.5304196222230688,False,35.7415,电气设备,16.06,0.5215517241379309,0.5086206896551724,-0.07172011661807576,0.01790281329923271,1.1265516439384353,,,,1000.0,0.32933389284796666
2025-06-06,002380,6,watch,观察,0.0,False,27.78,科远智慧,False,21.809,2.572,51.1978408455225,1.0871520931725436,1.0871520931725436,True,45.5187,软件服务,24.53,0.2879310344827586,0.7413793103448276,-0.14426114426114423,-0.02635782747603832,1.1049936431132086,,,,1000.0,0.6460902483870277
2025-06-06,002434,6,watch,观察,0.0,False,5.63,万里扬,False,36.1171,1.5892,7.006371497157856,-0.010399506051150254,-0.010399506051150254,False,35.7415,汽车配件,7.08,0.21637931034482757,0.9741379310344828,-0.09660574412532641,-0.10129870129870133,0.5266522168819244,,,,1000.0,0.4525478471994233
2025-06-06,002494,6,watch,观察,0.0,False,4.42,华斯股份,False,172.8405,1.4892,0.4906521908927596,-0.8,-0.8990427590755639,False,17.4495,服饰,4.86,0.6853448275862069,0.3620689655172414,0.13023255813953494,0.04516129032258065,0.6286144650327858,,,,1000.0,0.24193363305950868
2025-06-06,002515,6,watch,观察,0.0,False,6.54,金字火腿,False,114.5784,2.7566,1.6668852942613965,-0.7198512110485048,-0.7198512110485048,False,32.099,食品,5.95,0.8189655172413792,0.15517241379310345,0.27467811158798283,0.1123595505617978,0.8389879708506385,,,,1000.0,0.28006686742581044
2025-06-06,002534,6,watch,观察,0.0,False,13.85,西子洁能,False,35.3659,2.0985,11.00138008646747,-0.024700346944373064,-0.024700346944373064,False,34.49235,专用机械,11.28,0.13793103448275862,0.6120689655172413,-0.12607003891050583,0.0,0.47606976432225373,,,,1000.0,0.44902214669840274
2025-06-06,002552,6,watch,观察,0.0,False,35.05,宝鼎科技,False,31.3005,3.3017,16.02061452692449,0.14188271752847403,0.14188271752847403,True,35.7415,元器件,14.03,0.3413793103448276,0.43103448275862066,-0.07104557640750675,0.028953229398663627,0.8106346548804452,,,,1000.0,0.5354945905655395
