==================================================
最赚钱的公司 TOP 20
==================================================
代码,名称,行业,现价,总市值,市盈率,市净率,涨幅,净利润,营业收入,ROE,每股收益,总股本,净资产,净利润率,盈利得分,估值得分
SH601888,中国中免,零售,76.07,157378110000,38.67,2.83,4.06,3463710305.2,,5.5,,,,,3463710305.2,18.960836506417902
SZ300979,华利集团,纺织制造,59.15,69028050000,21.26,4.43,4.21,2437133883.96,,14.13,,,,,2437133883.96,13.638516146431689
SH688111,金山办公,软件开发,358.99,166276730000,105.8,13.71,4.04,1163838283.8,,9.97,,,,,1163838283.8,4.1195628044602


==================================================
被低估的公司 TOP 20
==================================================
代码,名称,行业,现价,总市值,市盈率,市净率,涨幅,净利润,营业收入,ROE,每股收益,总股本,净资产,净利润率,盈利得分,估值得分,PE_score,PB_score,低估得分,盈利加分,综合得分
SZ300979,华利集团,纺织制造,59.15,69028050000,21.26,4.43,4.21,2437133883.96,,14.13,,,,,2437133883.96,13.638516146431689,0.047036688617121354,0.22573363431151244,0.1185154668948778,0.4,0.5185154668948778
SH601888,中国中免,零售,76.07,157378110000,38.67,2.83,4.06,3463710305.2,,5.5,,,,,3463710305.2,18.960836506417902,0.02585983966899405,0.35335689045936397,0.156858659985142,0.2,0.356858659985142
