date,symbol,name,strength,rs_index,rs_sector,stock_pct,hs300_pct,sector_code,sector_name,sector_pct,close,rank
2026-01-05,002128,电投能源,78,0.9831,2.2896,2.8796,1.8965,801951.SI,煤炭开采,0.59,27.51,1
2026-01-05,000933,神火股份,74,1.731,0.8975,3.6275,1.8965,801055.SI,工业金属,2.73,27.71,2
2026-01-05,600961,株冶集团,52,0.4637,-0.3698,2.3602,1.8965,801055.SI,工业金属,2.73,16.48,3
2026-01-05,600993,马应龙,45,-0.3156,-0.2891,1.5809,1.8965,801155.SI,中药Ⅱ,1.87,27.63,4
2026-01-05,600131,国网信通,42,0.0434,-1.0201,1.9399,1.8965,801103.SI,IT服务Ⅱ,2.96,16.29,5
2026-01-05,601168,西部矿业,37,-0.3357,-1.1692,1.5608,1.8965,801055.SI,工业金属,2.73,27.98,6
2026-01-05,002170,芭田股份,29,-0.7806,-1.6141,1.1159,1.8965,801038.SI,农化制品,2.73,11.78,7
2026-01-05,600661,昂立教育,24,-1.3111,-1.5746,0.5854,1.8965,801994.SI,教育,2.16,10.31,8
2026-01-05,600989,宝丰能源,12,-2.5796,-1.4931,-0.6831,1.8965,801033.SI,化学原料,0.81,18.9,9
2026-01-05,002345,潮宏基,8,-2.8924,-1.5759,-0.9959,1.8965,801133.SI,饰品,0.58,11.93,10
2026-01-06,002128,电投能源,100,3.0703,2.4665,4.6165,1.5462,801951.SI,煤炭开采,2.15,28.78,1
2026-01-06,000933,神火股份,78,3.1092,-0.3646,4.6554,1.5462,801055.SI,工业金属,5.02,29.0,2
2026-01-06,600989,宝丰能源,75,2.9512,-0.6226,4.4974,1.5462,801033.SI,化学原料,5.12,19.75,3
2026-01-06,600961,株冶集团,68,2.5193,-0.9545,4.0655,1.5462,801055.SI,工业金属,5.02,17.15,4
2026-01-06,601168,西部矿业,52,1.6346,-1.8392,3.1808,1.5462,801055.SI,工业金属,5.02,28.87,5
2026-01-06,600131,国网信通,39,-0.4412,-0.815,1.105,1.5462,801103.SI,IT服务Ⅱ,1.92,16.47,6
2026-01-06,002170,芭田股份,37,0.4063,-2.1475,1.9525,1.5462,801038.SI,农化制品,4.1,12.01,7
2026-01-06,600993,马应龙,32,-1.4014,-0.5152,0.1448,1.5462,801155.SI,中药Ⅱ,0.66,27.67,8
2026-01-06,600661,昂立教育,25,-1.7402,-0.994,-0.194,1.5462,801994.SI,教育,0.8,10.29,9
2026-01-06,002345,潮宏基,22,-1.63,-1.4338,-0.0838,1.5462,801133.SI,饰品,1.35,11.92,10
2026-01-07,600961,株冶集团,90,2.0421,2.4993,1.7493,-0.2928,801055.SI,工业金属,-0.75,17.45,1
2026-01-07,000933,神火股份,76,1.2238,1.681,0.931,-0.2928,801055.SI,工业金属,-0.75,29.27,2
2026-01-07,600989,宝丰能源,69,1.1029,0.9601,0.8101,-0.2928,801033.SI,化学原料,-0.15,19.91,3
2026-01-07,600131,国网信通,68,0.7785,1.2757,0.4857,-0.2928,801103.SI,IT服务Ⅱ,-0.79,16.55,4
2026-01-07,600661,昂立教育,34,-1.1649,-0.4977,-1.4577,-0.2928,801994.SI,教育,-0.96,10.14,5
