rank,date,股票代码,name,strategy_id,sell_price,high,momentum,momentum_pct,momentum_pct_diff_2d
25,2026-04-20,300502,,grid_sell_momentum_diff_pos,496.4,597.0,0.0,1.4,1.4
26,2026-04-20,600885,,grid_sell_momentum_diff_pos,27.2,28.9,0.0,1.3,1.3
27,2026-04-20,000338,,grid_sell_momentum_diff_pos,25.5,27.4,0.0,1.2,1.2
28,2026-04-20,002050,,grid_sell_momentum_diff_pos,44.8,46.4,0.0,1.2,1.2
29,2026-04-20,002155,,grid_sell_momentum_diff_pos,30.0,30.7,0.0,1.1,1.1
30,2026-04-20,002064,,grid_sell_momentum_diff_pos,10.7,11.2,0.0,0.9,0.9
31,2026-04-20,688300,,grid_sell_momentum_diff_pos,88.9,97.5,0.0,0.9,0.9
32,2026-04-20,688088,,grid_sell_momentum_diff_pos,41.4,42.3,0.0,0.8,0.8
33,2026-04-20,300841,,grid_sell_momentum_diff_pos,57.4,60.3,0.0,0.7,0.7
34,2026-04-20,301101,,grid_sell_momentum_diff_pos,34.9,35.3,0.0,0.7,0.7
35,2026-04-20,601899,,grid_sell_momentum_diff_pos,33.5,35.3,0.0,0.6,0.6
36,2026-04-20,600007,,grid_sell_momentum_diff_pos,21.2,21.7,0.0,0.5,0.5
37,2026-04-20,300059,,grid_sell_momentum_diff_pos,20.1,20.2,0.0,0.4,0.4
38,2026-04-20,688123,,grid_sell_momentum_diff_pos,110.5,122.7,0.0,0.4,0.4
39,2026-04-20,603300,,grid_sell_momentum_diff_pos,7.0,7.2,0.0,0.3,0.3
40,2026-04-20,300316,,grid_sell_momentum_diff_pos,45.7,46.6,0.0,0.2,0.2
41,2026-04-20,300408,,grid_sell_momentum_diff_pos,55.7,66.0,0.0,0.1,0.1
42,2026-04-20,300017,,grid_sell_momentum_diff_pos,18.0,19.1,0.0,0.1,0.1
43,2026-04-20,603986,,grid_sell_momentum_diff_pos,286.2,296.0,0.0,0.1,0.1
