group,symbol,stock_name,variant,win_rate_p,payoff_b,kelly_full,kelly_half,kelly_pct,n_months,source_dir,ok,note,generated_at
量能,002649,博彦科技,A_L,0.5,1.4946695890208725,0.16547790650672184,0.08273895325336092,0.08273895325336092,14,C:\Users\111\Desktop\PybtradeVue\pybroker_trade-vue\A_stocks\ma_strategy_project\pybroker_integration\market_neutral\output\latest,True,半凯利x0.5 · 上限20%,2026-08-09 20:17:53
量能,003032,传智教育,A_L,0.5,1.4946695890208725,0.16547790650672184,0.08273895325336092,0.08273895325336092,14,C:\Users\111\Desktop\PybtradeVue\pybroker_trade-vue\A_stocks\ma_strategy_project\pybroker_integration\market_neutral\output\latest,True,半凯利x0.5 · 上限20%,2026-08-09 20:17:53
M加,003032,传智教育,M+_L,0.7142857142857143,0.8308465532948784,0.37040237676540816,0.18520118838270408,0.18520118838270408,14,C:\Users\111\Desktop\PybtradeVue\pybroker_trade-vue\A_stocks\ma_strategy_project\pybroker_integration\market_neutral\output\latest,True,半凯利x0.5 · 上限20%,2026-08-09 20:17:53
M加,000056,*ST皇庭,M+_L,0.7142857142857143,0.8308465532948784,0.37040237676540816,0.18520118838270408,0.18520118838270408,14,C:\Users\111\Desktop\PybtradeVue\pybroker_trade-vue\A_stocks\ma_strategy_project\pybroker_integration\market_neutral\output\latest,True,半凯利x0.5 · 上限20%,2026-08-09 20:17:53
M减,002731,*ST萃华,M-_L,0.7142857142857143,0.5292309280447276,0.17441876665687361,0.08720938332843681,0.08720938332843681,14,C:\Users\111\Desktop\PybtradeVue\pybroker_trade-vue\A_stocks\ma_strategy_project\pybroker_integration\market_neutral\output\latest,True,半凯利x0.5 · 上限20%,2026-08-09 20:17:53
M减,002457,青龙管业,M-_L,0.7142857142857143,0.5292309280447276,0.17441876665687361,0.08720938332843681,0.08720938332843681,14,C:\Users\111\Desktop\PybtradeVue\pybroker_trade-vue\A_stocks\ma_strategy_project\pybroker_integration\market_neutral\output\latest,True,半凯利x0.5 · 上限20%,2026-08-09 20:17:53
