date,rank,股票代码,symbol,name,strategy_id,sell_price,high,momentum,momentum_pct
2025-10-21,1,300866,300866,安克创新,grid_sell,108.39150000000001,120.5,0.11171078913014389,11.171078913014389
2025-10-22,1,300866,300866,安克创新,grid_sell,108.39150000000001,123.59,0.14021855957339824,14.021855957339824
2025-10-23,1,300866,300866,安克创新,grid_sell,108.39150000000001,123.29,0.1374508148701697,13.74508148701697
2025-10-24,1,300866,300866,安克创新,grid_sell,108.39150000000001,123.86,0.14270952980630391,14.27095298063039
2025-10-27,1,300866,300866,安克创新,grid_sell,108.39150000000001,125.2,0.15507212281405824,15.507212281405824
2025-10-28,1,300866,300866,安克创新,grid_sell,108.39150000000001,127.5,0.17629149887214396,17.629149887214396
2025-10-29,1,300866,300866,安克创新,grid_sell,108.39150000000001,126.97,0.1714018165631068,17.14018165631068
2025-10-30,1,300866,300866,安克创新,grid_sell,108.39150000000001,123.11,0.1357901680482325,13.57901680482325
2025-10-31,1,300866,300866,安克创新,grid_sell,108.39150000000001,117.99,0.0885539917797981,8.85539917797981
2025-11-03,1,300866,300866,安克创新,grid_sell,108.39150000000001,116.85,0.07803656190752951,7.803656190752951
2025-11-04,1,300866,300866,安克创新,grid_sell,108.39150000000001,115.56,0.06613525968364672,6.613525968364672
2025-11-05,1,300866,300866,安克创新,grid_sell,108.39150000000001,114.0,0.05174298722685812,5.174298722685812
2025-11-06,1,300866,300866,安克创新,grid_sell,108.39150000000001,116.8,0.07757527112365811,7.757527112365811
2025-11-07,1,300866,300866,安克创新,grid_sell,108.39150000000001,115.15,0.06235267525590104,6.235267525590104
2025-11-10,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.33,0.027110059368123794,2.7110059368123793
2025-11-11,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.7,0.030523611168772412,3.052361116877241
2025-11-12,1,300866,300866,安克创新,grid_sell,108.39150000000001,110.27,0.017330694750049478,1.7330694750049478
2025-11-13,1,300866,300866,安克创新,grid_sell,108.39150000000001,110.55,0.019913923139729492,1.9913923139729492
2025-11-14,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.0,0.02406554019457238,2.406554019457238
2025-11-27,1,300866,300866,安克创新,grid_sell,108.39150000000001,113.6,0.04805266095588664,4.805266095588664
2025-11-28,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.5,0.02867844803328667,2.867844803328667
2025-12-01,1,300866,300866,安克创新,grid_sell,108.39150000000001,113.64,0.04842169358298384,4.842169358298384
2025-12-02,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.22,0.026095219643606657,2.6095219643606655
2025-12-03,1,300866,300866,安克创新,grid_sell,108.39150000000001,112.03,0.03356813034232383,3.356813034232383
2025-12-04,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.25,0.026371994113929525,2.6371994113929524
2025-12-05,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.6,0.029601029601029474,2.9601029601029474
2025-12-08,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.21,0.026002961486832323,2.600296148683232
