rank,asof,symbol,stock_name,upside,upside_raw,fair_price,close,pe_ttm,pe_ref,industry,undervalued
1,2026-09-11,000656,金科股份,0.8394736379415174,66.60964028776978,81.80766474820143,1.21,0.3475,23.494349999999997,全国地产,True
2,2026-09-11,600551,时代出版,0.8394736379415174,0.8629897471275303,13.953793205985201,7.49,12.6111,23.494349999999997,出版业,True
3,2026-09-11,600961,株冶集团,0.8394736379415174,1.041902053591877,49.61821990228261,24.3,10.4792,21.3975,铅锌,True
4,2026-09-11,600993,马应龙,0.8394736379415174,4.0361628683371755,111.45028427630169,22.13,15.8754,79.9511,中成药,True
5,2026-09-11,600711,盛屯矿业,0.8202331849711431,0.8202331849711431,20.56863499017392,11.3,12.8739,23.4335,小金属,True
6,2026-09-11,002266,浙富控股,0.7924082791031224,0.7924082791031224,8.585635656903957,4.79,13.1077,23.494349999999997,环境保护,True
7,2026-09-11,600987,航民股份,0.7205690230802728,0.7205690230802728,10.873996225867325,6.32,8.9557,15.4089,纺织,True
8,2026-09-11,002612,朗姿股份,0.709384914058431,0.709384914058431,27.179220133529054,15.9,8.4476,14.4402,服饰,True
9,2026-09-11,603367,辰欣药业,0.6921644747266675,0.6921644747266675,23.690302646173347,14.0,13.8842,23.494349999999997,化学制药,True
10,2026-09-11,603214,爱婴室,0.6400073019970112,0.6400073019970112,21.467695583140877,13.09,23.5552,38.6307,百货,True
11,2026-09-11,000028,国药一致,0.5946597416433612,0.5946597416433612,31.574262884538552,19.8,11.2635,17.96145,医药商业,True
12,2026-09-11,002705,新宝股份,0.5460776120188731,0.5460776120188731,17.16146149340949,11.1,15.1961,23.494349999999997,家用电器,True
13,2026-09-11,002959,小熊电器,0.4728060882266283,0.4728060882266283,46.42284790090332,31.52,15.9521,23.494349999999997,家用电器,True
14,2026-09-11,000411,英特集团,0.45339164771853735,0.45339164771853735,14.243238147641668,9.8,12.3583,17.96145,医药商业,True
15,2026-09-11,605599,菜百股份,0.44263507033248084,0.44263507033248084,20.629681505754476,14.3,10.0096,14.4402,服饰,True
16,2026-09-11,002091,江苏国泰,0.4412763001190947,0.4412763001190947,10.867223302897974,7.54,10.076,14.5223,商贸代理,True
17,2026-09-11,603518,锦泓集团,0.35814452188143675,0.35814452188143675,10.810830394176236,7.96,10.6323,14.4402,服饰,True
18,2026-09-11,600531,豫光金铅,0.3284844195272776,0.3284844195272776,16.287218983404422,12.26,16.1067,21.3975,铅锌,True
19,2026-09-11,002867,周大生,0.22004427246151503,0.22004427246151503,12.761663089947449,10.46,11.8358,14.4402,服饰,True
20,2026-09-11,600362,江西铜业,0.20540765755887902,0.20540765755887902,55.183562563045484,45.78,13.6806,16.4907,铜,True
21,2026-09-11,601168,西部矿业,0.09401204755333836,0.09401204755333836,41.123912867529995,37.59,15.0736,16.4907,铜,True
22,2026-09-11,600661,昂立教育,0.09191740330721387,0.09191740330721387,9.412328016508182,8.62,21.5166,23.494349999999997,文教休闲,True
23,2026-09-11,605009,豪悦护理,0.08315314858441636,0.08315314858441636,25.941517908596772,23.95,21.6907,23.494349999999997,造纸,True
24,2026-09-11,001219,青岛食品,0.07126051569660063,0.07126051569660063,13.465744682306271,12.57,21.9315,23.494349999999997,食品,True
25,2026-09-11,603193,润本股份,0.06814348389443281,0.06814348389443281,20.444266281739445,19.14,21.9955,23.494349999999997,日用化工,True
26,2026-09-11,002345,潮宏基,0.050975996739399454,0.050975996739399454,9.55337181036114,9.09,13.7398,14.4402,服饰,True
27,2026-09-11,002950,奥美医疗,0.048878323176856586,0.048878323176856586,8.999376012857429,8.58,22.3995,23.494349999999997,医疗保健,True
28,2026-09-11,002327,富安娜,0.041071549219647174,0.041071549219647174,6.40259002770083,6.15,14.801,15.4089,纺织,True
29,2026-09-11,603979,金诚信,0.0017312388380654742,0.0017312388380654742,75.12984291285491,75.0,16.4622,16.4907,铜,True
30,2026-09-11,000501,武商集团,0.0,0.0,7.35,7.35,38.6307,38.6307,百货,False
31,2026-09-11,002293,罗莱生活,0.0,0.0,10.74,10.74,15.4089,15.4089,纺织,False
32,2026-09-11,002563,森马服饰,0.0,0.0,5.61,5.61,14.4402,14.4402,服饰,False
33,2026-09-11,600222,太龙药业,0.0,0.0,7.53,7.53,79.9511,79.9511,中成药,False
34,2026-09-11,600459,贵研铂业,0.0,0.0,18.94,18.94,23.4335,23.4335,小金属,False
35,2026-09-11,601020,华钰矿业,0.0,0.0,21.16,21.16,21.3975,21.3975,铅锌,False
36,2026-09-11,601061,中信金属,0.0,0.0,11.6,11.6,14.5223,14.5223,商贸代理,False
37,2026-09-11,000737,北方铜业,-0.0017252651460120116,-0.0017252651460120116,14.714569591747782,14.74,16.5192,16.4907,铜,False
38,2026-09-11,002155,湖南黄金,-0.021562045801908347,-0.021562045801908347,26.90704374044752,27.5,24.0121,23.494349999999997,黄金,False
39,2026-09-11,603406,天富龙,-0.09257392473118298,-0.09257392473118298,27.558529905913975,30.37,25.8912,23.494349999999997,化纤,False
40,2026-09-11,601969,海南矿业,-0.17651522586434132,-0.17651522586434132,7.872514440736897,9.56,28.5304,23.494349999999997,普钢,False
41,2026-09-11,603132,金徽股份,-0.19668499990614385,-0.19668499990614385,15.271018151784206,19.01,26.6365,21.3975,铅锌,False
42,2026-09-11,000630,铜陵有色,-0.2090374072493033,-0.2090374072493033,4.8802391972717984,6.17,20.8489,16.4907,铜,False
43,2026-09-11,000603,盛达资源,-0.21346600599894128,-0.21346600599894128,26.435407538375582,33.61,27.2048,21.3975,铅锌,False
44,2026-09-11,603238,诺邦股份,-0.22987075299127357,-0.22987075299127357,9.102927699643146,11.82,20.0082,15.4089,纺织,False
45,2026-09-11,002727,一心堂,-0.23777827758587033,-0.23777827758587033,8.300594557089873,10.89,23.5646,17.96145,医药商业,False
46,2026-09-11,002570,贝因美,-0.2548289183222959,-0.2548289183222959,3.293656181015452,4.42,31.5288,23.494349999999997,乳制品,False
47,2026-09-11,000950,重药控股,-0.2748181135488248,-0.2748181135488248,3.7636939906816,5.19,24.7682,17.96145,医药商业,False
48,2026-09-11,000878,云南铜业,-0.31584930239504805,-0.31584930239504805,11.753708984853075,17.18,24.1039,16.4907,铜,False
49,2026-09-11,001318,阳光乳业,-0.34095346293023654,-0.34095346293023654,7.565854245560884,11.48,35.649,23.494349999999997,乳制品,False
50,2026-09-11,002780,三夫户外,-0.3999825482105682,-0.3999825482105682,7.836227920369979,13.06,24.0663,14.4402,服饰,False
51,2026-09-11,000025,特力A,-0.46598045700336177,-0.46598045700336177,7.82338630490075,14.65,43.9953,23.494349999999997,综合类,False
52,2026-09-11,603511,爱慕股份,-0.4865396308399085,-0.4865396308399085,6.223139674220309,12.12,28.1233,14.4402,服饰,False
53,2026-09-11,600684,珠江股份,-0.580978819181874,-0.580978819181874,1.449813285630716,3.46,56.0696,23.494349999999997,区域地产,False
54,2026-09-11,002716,湖南白银,-0.6285679414673734,-0.6285679414673734,3.7031776235702876,9.97,63.0896,23.4335,小金属,False
55,2026-09-11,002763,汇洁股份,-0.6470847009426423,-0.6470847009426423,2.5656942241469904,7.27,40.9169,14.4402,服饰,False
56,2026-09-11,002132,恒星科技,-0.6777813131306205,-0.6777813131306205,1.3662072323261691,4.24,72.9143,23.494349999999997,钢加工,False
57,2026-09-11,600128,苏豪弘业,-0.7011054465522457,-0.7011054465522457,2.528647922168001,8.46,48.5867,14.5223,商贸代理,False
58,2026-09-11,002552,宝鼎科技,-0.7114811453637379,-0.7114811453637379,14.425942731813107,50.0,81.4309,23.494349999999997,元器件,False
59,2026-09-11,001360,南矿集团,-0.7675991971836141,-0.7675991971836141,4.392375173229693,18.9,101.0941,23.494349999999997,工程机械,False
60,2026-09-11,600857,宁波中百,-0.7953560491242532,-0.7953560491242532,4.55946722551164,22.28,188.7703,38.6307,百货,False
61,2026-09-11,002584,西陇科学,-0.7975094568587112,-0.7975094568587112,1.5753764256392266,7.78,116.0269,23.494349999999997,化工原料,False
62,2026-09-11,002162,悦心健康,-0.8,-0.9363514084621511,0.26286868305131583,4.13,369.126,23.494349999999997,陶瓷,False
63,2026-09-11,002219,新里程,-0.8,-0.9015001157127908,0.20783475584601138,2.11,238.5216,23.494349999999997,医疗保健,False
64,2026-09-11,002721,金一文化,-0.8,-0.8195444184512026,0.4908391818127288,2.72,80.0208,14.4402,服饰,False
65,2026-09-11,002955,鸿合科技,-0.8,-0.9457810764144503,1.8271777248330232,33.7,433.3238,23.494349999999997,IT设备,False
66,2026-09-11,003041,真爱美家,-0.8,-0.8426867067413711,5.842615711625475,37.14,97.9504,15.4089,纺织,False
67,2026-09-11,600189,泉阳泉,-0.8,-0.8723798302949712,0.9967135253962743,7.81,184.0959,23.494349999999997,软饮料,False
68,2026-09-11,600208,衢州发展,-0.8,-0.8325019391671847,0.47066955094021085,2.81,140.2664,23.494349999999997,全国地产,False
69,2026-09-11,603439,三力制药,-0.8,-0.9940920252357129,0.0740860035441597,12.54,13532.7423,79.9511,中成药,False
70,2026-09-11,603610,麒盛科技,-0.8,-0.8592338442476307,1.8834511639667015,13.38,166.9034,23.494349999999997,家居用品,False
71,2026-09-11,603615,茶花股份,-0.8,-0.9038811882160273,1.8137619783635661,18.87,244.4303,23.494349999999997,家居用品,False
72,2026-09-11,603900,莱绅通灵,-0.8,-0.8885178874586677,0.7681117554097798,6.89,129.5293,14.4402,服饰,False
