symbol,date,current_price,pred_return,predicted_price
002041,2022-08-08,20.13,1.4e-05,20.1303
002041,2022-08-09,20.05,0.000133,20.0527
002041,2022-08-10,19.88,0.00053,19.8905
002041,2022-08-11,20.31,-0.000524,20.2994
002041,2022-08-12,20.33,-0.000534,20.3192
002041,2022-08-15,20.73,-0.001374,20.7015
002041,2022-08-16,20.75,-0.001307,20.7229
002041,2022-08-17,21.01,-0.001817,20.9718
002041,2022-08-18,20.51,-0.000561,20.4985
002041,2022-08-19,20.6,-0.000698,20.5856
002041,2022-08-22,21.17,-0.001899,21.1298
002041,2022-08-23,21.39,-0.002183,21.3433
002041,2022-08-24,21.8,-0.002928,21.7362
002041,2022-08-25,21.65,-0.002368,21.5987
002041,2022-08-26,22.52,-0.004218,22.425
002041,2022-08-29,23.26,-0.005693,23.1276
002041,2022-08-30,22.77,-0.004119,22.6762
002041,2022-08-31,21.5,-0.000772,21.4834
002041,2022-09-01,21.61,-0.000818,21.5923
002041,2022-09-02,21.63,-0.000599,21.617
002041,2022-09-05,21.21,0.000569,21.2221
002041,2022-09-06,21.33,0.000413,21.3388
002041,2022-09-07,21.32,0.000588,21.3325
002041,2022-09-08,20.47,0.002775,20.5268
002041,2022-09-09,20.5,0.002723,20.5558
002041,2022-09-13,20.61,0.002482,20.6612
002041,2022-09-14,20.03,0.003844,20.107
002041,2022-09-15,19.78,0.004352,19.8661
002041,2022-09-16,19.45,0.004988,19.547
002041,2022-09-19,19.59,0.004531,19.6788
002041,2022-09-20,19.78,0.00396,19.8583
002041,2022-09-21,19.9,0.003511,19.9699
002041,2022-09-22,20.05,0.002978,20.1097
002041,2022-09-23,20.1,0.002652,20.1533
002041,2022-09-26,19.08,0.004888,19.1733
002041,2022-09-27,19.66,0.003104,19.721
002041,2022-09-28,18.96,0.004337,19.0422
002041,2022-09-29,19.0,0.003791,19.072
002041,2022-09-30,18.95,0.003613,19.0185
002041,2022-10-10,18.83,0.003582,18.8974
002041,2022-10-11,18.9,0.003084,18.9583
002041,2022-10-12,19.27,0.001932,19.3072
002041,2022-10-13,19.86,0.000288,19.8657
002041,2022-10-14,20.09,-0.00043,20.0814
002041,2022-10-17,20.67,-0.001851,20.6317
002041,2022-10-18,20.38,-0.001143,20.3567
002041,2022-10-19,20.23,-0.000815,20.2135
002041,2022-10-20,20.21,-0.000743,20.195
002041,2022-10-21,19.94,-5.2e-05,19.939
002041,2022-10-24,20.12,-0.000421,20.1115
002041,2022-10-25,19.76,0.000496,19.7698
002041,2022-10-26,20.01,-9.9e-05,20.008
002041,2022-10-27,20.27,-0.000703,20.2557
002041,2022-10-28,19.52,0.001102,19.5415
002041,2022-10-31,20.65,-0.001647,20.616
002041,2022-11-01,21.05,-0.00241,20.9993
002041,2022-11-02,21.02,-0.002174,20.9743
002041,2022-11-03,20.98,-0.001835,20.9415
002041,2022-11-04,21.1,-0.001884,21.0602
002041,2022-11-07,21.56,-0.002721,21.5013
002041,2022-11-08,21.04,-0.001163,21.0155
002041,2022-11-09,20.96,-0.00072,20.9449
002041,2022-11-10,21.29,-0.001302,21.2623
002041,2022-11-11,21.2,-0.000919,21.1805
002041,2022-11-14,21.16,-0.000692,21.1453
002041,2022-11-15,21.39,-0.00118,21.3648
002041,2022-11-16,21.17,-0.000538,21.1586
002041,2022-11-17,20.81,0.000427,20.8189
002041,2022-11-18,20.28,0.001755,20.3156
002041,2022-11-21,20.43,0.00144,20.4594
002041,2022-11-22,20.01,0.002473,20.0595
002041,2022-11-23,20.0,0.002526,20.0505
002041,2022-11-24,20.26,0.001908,20.2987
002041,2022-11-25,20.0,0.002524,20.0505
002041,2022-11-28,20.39,0.001656,20.4238
002041,2022-11-29,20.45,0.001483,20.4803
002041,2022-11-30,20.93,0.000273,20.9357
002041,2022-12-01,21.24,-0.000473,21.23
002041,2022-12-02,21.26,-0.00049,21.2496
002041,2022-12-05,21.39,-0.000779,21.3733
002041,2022-12-06,21.77,-0.001701,21.733
002041,2022-12-07,21.85,-0.001804,21.8106
002041,2022-12-08,21.19,-0.000133,21.1872
002041,2022-12-09,21.14,-2.6e-05,21.1395
002041,2022-12-12,21.24,-0.00027,21.2343
002041,2022-12-13,21.49,-0.000854,21.4717
002041,2022-12-14,21.57,-0.001032,21.5477
002041,2022-12-15,21.44,-0.000676,21.4255
002041,2022-12-16,21.27,-0.000198,21.2658
002041,2022-12-19,20.58,0.001556,20.612
002041,2022-12-20,20.2,0.002475,20.25
002041,2022-12-21,19.96,0.003067,20.0212
002041,2022-12-22,20.0,0.002968,20.0594
002041,2022-12-23,19.46,0.004218,19.5421
002041,2022-12-26,19.72,0.003537,19.7897
