date,symbol,name,strategy_id,triggered,detail_json
2026-02-27,600176,中国巨石,grid5_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 27.98}"
2026-02-27,002028,思源电气,grid_buy,1,"{""ma20"": 200.6395, ""trigger_price"": 216.237, ""buy_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""low"": 210.53, ""high"": 226.0}"
2026-02-27,002028,思源电气,grid_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 226.0}"
2026-02-27,002028,思源电气,grid5_buy,1,"{""ma20"": 200.6395, ""trigger_price"": 216.237, ""buy_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""low"": 210.53, ""high"": 226.0}"
2026-02-27,002028,思源电气,grid5_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 226.0}"
2026-02-27,300285,国瓷材料,grid_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 38.52}"
2026-02-27,300285,国瓷材料,grid5_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 38.52}"
2026-02-27,002595,豪迈科技,grid_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 97.96}"
2026-02-27,002595,豪迈科技,grid5_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 97.96}"
2026-03-02,600176,中国巨石,grid_buy,1,"{""ma20"": 23.449, ""trigger_price"": 26.775000000000002, ""buy_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""low"": 26.31, ""high"": 28.7}"
2026-03-02,600176,中国巨石,grid_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 28.7}"
2026-03-02,600176,中国巨石,grid5_buy,1,"{""ma20"": 23.449, ""trigger_price"": 26.775000000000002, ""buy_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""low"": 26.31, ""high"": 28.7}"
2026-03-02,600176,中国巨石,grid5_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 28.7}"
2026-03-02,002028,思源电气,grid_buy,1,"{""ma20"": 201.80949999999999, ""trigger_price"": 216.237, ""buy_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""low"": 212.29, ""high"": 224.5}"
2026-03-02,002028,思源电气,grid_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 224.5}"
2026-03-02,002028,思源电气,grid5_buy,1,"{""ma20"": 201.80949999999999, ""trigger_price"": 216.237, ""buy_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""low"": 212.29, ""high"": 224.5}"
2026-03-02,002028,思源电气,grid5_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 224.5}"
2026-03-02,300285,国瓷材料,grid_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 39.65}"
2026-03-02,300285,国瓷材料,grid5_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 39.65}"
2026-03-02,002595,豪迈科技,grid_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 97.5}"
2026-03-02,002595,豪迈科技,grid5_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 97.5}"
2026-03-03,600176,中国巨石,grid_buy,1,"{""ma20"": 23.8285, ""trigger_price"": 26.775000000000002, ""buy_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""low"": 26.38, ""high"": 28.89}"
2026-03-03,600176,中国巨石,grid_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 28.89}"
2026-03-03,600176,中国巨石,grid5_buy,1,"{""ma20"": 23.8285, ""trigger_price"": 26.775000000000002, ""buy_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""low"": 26.38, ""high"": 28.89}"
2026-03-03,600176,中国巨石,grid5_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 28.89}"
2026-03-03,002028,思源电气,grid_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 225.35}"
2026-03-03,002028,思源电气,grid5_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 225.35}"
2026-03-03,300285,国瓷材料,grid_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 39.52}"
2026-03-03,300285,国瓷材料,grid5_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 39.52}"
2026-03-03,000807,云铝股份,grid_buy,1,"{""ma20"": 32.395500000000006, ""trigger_price"": 33.5265, ""buy_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""low"": 32.02, ""high"": 33.97}"
2026-03-03,000807,云铝股份,grid_sell,1,"{""trigger_price"": 33.5265, ""sell_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""high"": 33.97}"
2026-03-03,000807,云铝股份,grid5_buy,1,"{""ma20"": 32.395500000000006, ""trigger_price"": 33.5265, ""buy_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""low"": 32.02, ""high"": 33.97}"
2026-03-03,000807,云铝股份,grid5_sell,1,"{""trigger_price"": 33.5265, ""sell_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""high"": 33.97}"
2026-03-03,002595,豪迈科技,grid_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 97.16}"
2026-03-03,002595,豪迈科技,grid5_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 97.16}"
2026-03-04,600176,中国巨石,grid_buy,1,"{""ma20"": 24.119, ""trigger_price"": 26.775000000000002, ""buy_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""low"": 26.25, ""high"": 27.27}"
2026-03-04,600176,中国巨石,grid_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 27.27}"
2026-03-04,600176,中国巨石,grid5_buy,1,"{""ma20"": 24.119, ""trigger_price"": 26.775000000000002, ""buy_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""low"": 26.25, ""high"": 27.27}"
2026-03-04,600176,中国巨石,grid5_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 27.27}"
2026-03-04,002028,思源电气,grid_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 231.89}"
2026-03-04,002028,思源电气,grid5_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 231.89}"
2026-03-04,300285,国瓷材料,grid_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 36.83}"
2026-03-04,300285,国瓷材料,grid5_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 36.83}"
2026-03-04,000807,云铝股份,grid_buy,1,"{""ma20"": 32.339, ""trigger_price"": 33.5265, ""buy_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""low"": 33.18, ""high"": 35.2}"
2026-03-04,000807,云铝股份,grid_sell,1,"{""trigger_price"": 33.5265, ""sell_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""high"": 35.2}"
2026-03-04,000807,云铝股份,grid5_buy,1,"{""ma20"": 32.339, ""trigger_price"": 33.5265, ""buy_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""low"": 33.18, ""high"": 35.2}"
2026-03-04,000807,云铝股份,grid5_sell,1,"{""trigger_price"": 33.5265, ""sell_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""high"": 35.2}"
2026-03-04,002595,豪迈科技,grid_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 96.49}"
2026-03-04,002595,豪迈科技,grid5_sell,1,"{""trigger_price"": 88.91400000000002, ""sell_price"": 88.91400000000002, ""optimal_base_cost"": 84.68, ""base_cost_markup"": 0.05, ""high"": 96.49}"
2026-03-05,600176,中国巨石,grid_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 28.15}"
2026-03-05,600176,中国巨石,grid5_sell,1,"{""trigger_price"": 26.775000000000002, ""sell_price"": 26.775000000000002, ""optimal_base_cost"": 25.5, ""base_cost_markup"": 0.05, ""high"": 28.15}"
2026-03-05,002028,思源电气,grid_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 236.28}"
2026-03-05,002028,思源电气,grid5_sell,1,"{""trigger_price"": 216.237, ""sell_price"": 216.237, ""optimal_base_cost"": 205.94, ""base_cost_markup"": 0.05, ""high"": 236.28}"
2026-03-05,300285,国瓷材料,grid_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 36.79}"
2026-03-05,300285,国瓷材料,grid5_sell,1,"{""trigger_price"": 32.4765, ""sell_price"": 32.4765, ""optimal_base_cost"": 30.93, ""base_cost_markup"": 0.05, ""high"": 36.79}"
2026-03-05,000807,云铝股份,grid_sell,1,"{""trigger_price"": 33.5265, ""sell_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""high"": 36.11}"
2026-03-05,000807,云铝股份,grid5_sell,1,"{""trigger_price"": 33.5265, ""sell_price"": 33.5265, ""optimal_base_cost"": 31.93, ""base_cost_markup"": 0.05, ""high"": 36.11}"
