rank,asof,symbol,stock_name,mud_minus,r60,r20,close
1,2026-08-03,002731,*ST萃华,1.0,-0.7503184713375797,-0.5494252873563218,1.96
2,2026-08-03,600869,远东股份,0.9936708860759493,-0.299154334038055,-0.48203125,13.26
3,2026-08-03,002552,宝鼎科技,0.9873417721518988,0.17576853526220604,-0.44748470428280085,32.51
4,2026-08-03,605589,圣泉集团,0.9810126582278481,-0.1610601427115188,-0.4294627383015598,32.92
5,2026-08-03,603316,诚邦股份,0.9746835443037974,-0.3639686684073107,-0.4257425742574258,12.18
6,2026-08-03,600667,太极实业,0.9683544303797469,0.5229186155285315,-0.40605618387449827,16.28
7,2026-08-03,002364,中恒电气,0.9620253164556962,-0.24228977146660757,-0.369809928031002,34.15
8,2026-08-03,603020,爱普股份,0.9556962025316456,-0.18630849220103973,-0.36078965282505104,9.39
9,2026-08-03,603757,大元泵业,0.9493670886075949,-0.07488584474885851,-0.36039904028286396,50.65
10,2026-08-03,603375,盛景微,0.9430379746835443,-0.3081285444234405,-0.3515748031496063,32.94
11,2026-08-03,603052,可川科技,0.9367088607594937,-0.4736724176562851,-0.34840499306518724,46.98
12,2026-08-03,603045,福达合金,0.930379746835443,-0.24991938084488874,-0.3407963723962022,46.52
13,2026-08-03,605580,恒盛能源,0.9240506329113924,-0.2302513464991024,-0.32665881429132315,17.15
14,2026-08-03,600234,科新发展,0.9177215189873418,-0.4065012233484795,-0.31504638967325527,16.98
15,2026-08-03,002617,露笑科技,0.9113924050632911,-0.22971285892634208,-0.3121516164994427,6.17
16,2026-08-03,002132,恒星科技,0.9050632911392406,-0.31746031746031744,-0.30645161290322576,3.87
17,2026-08-03,600343,航天动力,0.8987341772151899,-0.5306652806652807,-0.3040462427745665,18.06
18,2026-08-03,002515,金字火腿,0.8924050632911392,-0.14093959731543626,-0.29978118161925604,6.4
19,2026-08-03,603389,亚振家居,0.8860759493670886,-0.3849737039819684,-0.2943103448275862,40.93
20,2026-08-03,603588,高能环境,0.879746835443038,-0.15389740173217858,-0.287317620650954,12.7
21,2026-08-03,002910,庄园牧场,0.8734177215189873,-0.24107919930374233,-0.2864157119476268,8.72
22,2026-08-03,000417,合百集团,0.8670886075949367,-0.1750358680057389,-0.27854454203262236,5.75
23,2026-08-03,600186,莲花控股,0.8607594936708861,-0.20380952380952388,-0.2755632582322357,8.36
