trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,first_time_hms,code6,stock_name
20260707,000973.SZ,塑料,佛塑科技,14.58,10.04,1442843984.0,,14105029833.18,35841092077.44,10.3,49664816.0,93103,134503,3,1/1,1.0,U,09:31:03,000973,佛塑科技
20260707,001206.SZ,个护用品,依依股份,19.54,10.02,154515203.0,,2088131509.32,3612825008.32,7.6,24730253.0,95230,95230,0,1/1,1.0,U,09:52:30,001206,依依股份
20260707,001229.SZ,计算机设,魅视科技,38.82,10.0,70328792.0,,2863021778.1,5568034122.0,2.47,119577983.0,93006,93006,0,1/1,1.0,U,09:30:06,001229,魅视科技
20260707,001311.SZ,汽车零部件,多利科技,19.67,10.01,66098081.0,,3484158193.88,7940034057.76,1.94,58479736.0,93145,93145,0,1/1,1.0,U,09:31:45,001311,多利科技
20260707,001365.SZ,汽车零部件,天海电子,43.46,10.0,337661968.0,,2499195375.16,22816500000.0,13.72,166659756.0,93818,93818,0,1/1,1.0,U,09:38:18,001365,天海电子
20260707,002129.SZ,光伏设备,TCL中环,11.02,9.98,3797452160.0,,44518373396.0,44555135851.52,8.74,138748114.0,100524,132657,1,1/1,1.0,U,10:05:24,002129,TCL中环
20260707,002137.SZ,光学光电,实益达,11.43,10.01,1120029792.0,,4531515865.83,6600880412.64,25.26,60222395.0,95357,131354,5,1/1,1.0,U,09:53:57,002137,实益达
20260707,002497.SZ,化学制品,雅化集团,24.65,10.0,437457072.0,,26118834709.75,28410666315.2,1.67,370881435.0,92500,92500,0,1/1,1.0,U,09:25:00,002497,雅化集团
20260707,002585.SZ,塑料,双星新材,11.37,9.96,481444992.0,,10082424065.58,12976838052.96,4.92,146700992.0,94315,94315,0,1/1,1.0,U,09:43:15,002585,双星新材
20260707,002841.SZ,消费电子,视源股份,43.08,10.01,238093079.0,,22459561813.68,30120956315.52,1.06,520606032.0,92500,92500,0,1/1,1.0,U,09:25:00,002841,视源股份
20260707,002951.SZ,其他电源,金时科技,14.84,10.01,87552170.0,,5952686467.0,6010200000.0,1.5,95367776.0,93503,93503,0,1/1,1.0,U,09:35:03,002951,金时科技
20260707,301251.SZ,元件,威尔高,50.77,20.0,214899764.0,,3837690490.56,9573398646.22,5.6,151070704.0,92500,92500,0,1/1,1.0,U,09:25:00,301251,威尔高
20260707,301516.SZ,其他电源,中远通,18.72,20.0,417897952.0,,1313684218.08,5254736947.2,33.32,32773197.0,100933,131609,1,1/1,1.0,U,10:09:33,301516,中远通
20260707,600120.SH,多元金融,浙江东方,4.88,9.91,141849205.0,,16667061680.96,16667061661.44,0.85,151725612.0,92503,92503,0,1/1,1.0,U,09:25:03,600120,浙江东方
20260707,600206.SH,半导体,有研新材,55.98,10.0,4559045888.0,,47390055525.36,47390055301.44,9.85,277935102.0,94536,112633,1,1/1,1.0,U,09:45:36,600206,有研新材
20260707,600246.SH,房地产开发,万通发展,18.6,9.99,4641980928.0,,35161672053.6,36139566979.2,13.4,5438640.0,94816,150000,39,2/2,2.0,U,09:48:16,600246,万通发展
20260707,600288.SH,软件开发,大恒科技,15.55,9.97,1869913040.0,,6792240000.0,6792240000.0,27.84,15306735.0,93406,145148,11,2/2,2.0,U,09:34:06,600288,大恒科技
20260707,600793.SH,造纸,宜宾纸业,19.37,9.99,321315280.0,,3426630518.74,3426630518.74,9.55,26207610.0,94637,94637,0,6/11,5.0,U,09:46:37,600793,宜宾纸业
20260707,601121.SH,冶钢原料,宝地矿业,6.47,10.03,50482822.0,,5176000000.0,6368050605.44,0.98,62058946.0,92502,92502,0,1/1,1.0,U,09:25:02,601121,宝地矿业
20260707,603065.SH,化学制品,宿迁联盛,20.25,9.99,1350738528.0,,8484093333.0,8484093252.0,16.49,11601225.0,93732,144050,2,1/1,1.0,U,09:37:32,603065,宿迁联盛
20260707,603137.SH,装修装饰,恒尚节能,20.83,9.98,15183966.0,,3810501347.22,3810501347.22,0.4,385095728.0,92503,92503,0,6/6,6.0,U,09:25:03,603137,恒尚节能
20260707,603178.SH,汽车零部件,圣龙股份,16.35,10.03,147152966.0,,3865334254.35,3865334254.35,3.89,42106204.0,93553,93553,0,2/3,1.0,U,09:35:53,603178,圣龙股份
20260707,603356.SH,专用设备,华菱精工,17.93,10.0,87877445.0,,2390786200.0,2390786200.0,3.74,101889018.0,93526,93526,0,1/1,1.0,U,09:35:26,603356,华菱精工
20260707,603861.SH,电网设备,白云电器,15.2,9.99,667597136.0,,8034514465.6,8216024870.4,8.51,36992240.0,95121,100133,5,2/2,2.0,U,09:51:21,603861,白云电器
20260707,605118.SH,计算机设,力鼎光电,38.08,9.99,204689356.0,,15569712480.0,15660971504.64,1.33,34679456.0,93735,94008,2,1/1,1.0,U,09:37:35,605118,力鼎光电
20260707,605399.SH,化学制品,晨光新材,14.51,10.01,144535988.0,,4520261529.28,4525006415.36,3.31,38246850.0,102221,102221,0,1/1,1.0,U,10:22:21,605399,晨光新材
20260707,688432.SH,半导体,有研硅,46.14,20.0,3389040400.0,,57688927728.12,57688927635.84,6.12,84772606.0,95640,141840,6,1/1,1.0,U,09:56:40,688432,有研硅
