variant,pool_23_annual,pool_46_annual,delta_23_minus_46,pool_23_month_win,pool_46_month_win,pool_23_sharpe,pool_46_sharpe
M-_L,0.1190631886223592,0.0340331493726167,0.0850300392497425,0.6,0.7142857142857143,0.4442122532215017,0.1499849115653803
B_L,0.0358985591958493,-0.111370273034781,0.1472688322306303,0.4666666666666667,0.6428571428571429,0.1175471428370658,-0.6473788252288358
Q_L,0.0090992926832036,-0.0112826466963266,0.0203819393795302,0.3333333333333333,0.3571428571428571,0.0275961401174301,-0.0651248933122581
A_L,-0.0116938368319354,0.0695664660837951,-0.0812603029157305,0.4666666666666667,0.5,-0.0728132131285677,0.3326565179317634
M+_L,-0.1125211332531526,0.2517965254264367,-0.3643176586795893,0.4666666666666667,0.7142857142857143,-0.2958198371756287,1.022798786339691
