rank,asof,symbol,stock_name,mud_minus,r20,r60,close
1,2026-08-07,000028,,1.0,0.0049455984174084,-0.0504672897196261,20.32
2,2026-08-07,000411,,0.8,0.0365198711063372,-0.1490299823633156,9.65
