symbol,anchor_t,date,high,low,open,close,result1_pred,result2_earlier_pred,result2_last_pred,is_future,open_source
000056,2022-08-17,2022-08-18,5.4746,5.4454,5.4454,5.4746,5.4577,5.4915,5.4509,False,综合高低
000056,2022-08-18,2022-08-19,5.4783,5.4653,5.4653,5.4783,5.4768,5.4509,5.4707,False,综合高低
000056,2022-08-19,2022-08-22,5.3914,5.3047,5.3047,5.3914,5.312,5.4707,5.3094,False,综合高低
000056,2022-08-22,2022-08-23,5.2696,5.2244,5.2244,5.2696,5.2299,5.3094,5.2288,False,综合高低
000056,2022-08-23,2022-08-24,5.209,5.1843,5.1843,5.209,5.1891,5.2288,5.1886,False,综合高低
000056,2022-08-24,2022-08-25,5.0871,4.9838,4.9838,5.0871,4.9857,5.1886,4.9875,False,综合高低
000056,2022-08-25,2022-08-26,4.931,4.8736,4.8736,4.931,4.8744,4.9875,4.8771,False,综合高低
000056,2022-08-26,2022-08-29,4.994,4.9539,4.9539,4.994,4.9572,4.8771,4.9579,False,综合高低
000056,2022-08-29,2022-08-30,4.9323,4.9038,4.9038,4.9323,4.9067,4.9579,4.9077,False,综合高低
000056,2022-08-30,2022-08-31,4.8716,4.8337,4.8337,4.8716,4.8354,4.9077,4.8373,False,综合高低
000056,2022-08-31,2022-09-01,4.7854,4.7334,4.7334,4.7854,4.7334,4.8373,4.7367,False,综合高低
000056,2022-09-01,2022-09-02,4.8223,4.7935,4.7935,4.8223,4.7944,4.7367,4.797,False,综合高低
000056,2022-09-02,2022-09-05,4.9736,4.9138,4.9138,4.9736,4.9165,4.797,4.9176,False,综合高低
000056,2022-09-05,2022-09-06,4.8866,4.8537,4.8537,4.8866,4.8555,4.9176,4.8573,False,综合高低
000056,2022-09-06,2022-09-07,5.0194,4.964,4.964,5.0194,4.9681,4.8573,4.9681,False,综合高低
000056,2022-09-07,2022-09-08,5.0702,5.0343,5.0343,5.0702,5.0398,4.9681,5.0386,False,综合高低
000056,2022-09-08,2022-09-09,4.973,4.9039,4.9039,4.973,4.9074,5.0386,4.9078,False,综合高低
000056,2022-09-09,2022-09-13,5.0249,4.9842,4.9842,5.0249,4.9893,4.9078,4.9884,False,综合高低
000056,2022-09-13,2022-09-14,5.4543,5.2952,5.2952,5.4543,5.3066,4.9884,5.3004,False,综合高低
000056,2022-09-14,2022-09-15,5.2167,5.1247,5.1247,5.2167,5.133,5.3004,5.1294,False,综合高低
000056,2022-09-15,2022-09-16,5.2933,5.2351,5.2351,5.2933,5.2458,5.1294,5.2402,False,综合高低
000056,2022-09-16,2022-09-19,5.0286,4.8138,4.8138,5.0286,4.8171,5.2402,4.8177,False,综合高低
000056,2022-09-19,2022-09-20,4.9349,4.8941,4.8941,4.9349,4.8993,4.8177,4.8983,False,综合高低
000056,2022-09-20,2022-09-21,5.1522,5.0647,5.0647,5.1522,5.0733,4.8983,5.0694,False,综合高低
000056,2022-09-21,2022-09-22,5.0407,5.0045,5.0045,5.0407,5.0121,5.0694,5.009,False,综合高低
000056,2022-09-22,2022-09-23,4.9086,4.8039,4.8039,4.9086,4.8082,5.009,4.8079,False,综合高低
000056,2022-09-23,2022-09-26,4.7215,4.6335,4.6335,4.7215,4.6351,4.8079,4.637,False,综合高低
000056,2022-09-26,2022-09-27,4.5504,4.4631,4.4631,4.5504,4.4622,4.637,4.4661,False,综合高低
000056,2022-09-27,2022-09-28,4.5218,4.5032,4.5032,4.5218,4.5033,4.4661,4.5064,False,综合高低
000056,2022-09-28,2022-09-29,4.4453,4.3829,4.3829,4.4453,4.3816,4.5064,4.3859,False,综合高低
000056,2022-09-29,2022-09-30,4.3404,4.2927,4.2927,4.3404,4.2905,4.3859,4.2955,False,综合高低
000056,2022-09-30,2022-10-10,4.2803,4.2627,4.2627,4.2803,4.2603,4.2955,4.2654,False,综合高低
000056,2022-10-10,2022-10-11,4.2206,4.1725,4.1725,4.2206,4.1693,4.2654,4.1751,False,综合高低
000056,2022-10-11,2022-10-12,4.1603,4.1425,4.1425,4.1603,4.1395,4.1751,4.1451,False,综合高低
000056,2022-10-12,2022-10-13,4.5178,4.3932,4.3932,4.5178,4.3941,4.1451,4.3965,False,综合高低
000056,2022-10-13,2022-10-14,4.4075,4.4033,4.4033,4.4075,4.4048,4.3965,4.4066,False,综合高低
000056,2022-10-14,2022-10-17,4.4934,4.4635,4.4635,4.4934,4.4664,4.4066,4.4671,False,综合高低
000056,2022-10-17,2022-10-18,4.4669,4.4636,4.4636,4.4669,4.4668,4.4671,4.4671,False,综合高低
000056,2022-10-18,2022-10-19,4.457,4.4436,4.4436,4.457,4.4468,4.4671,4.4471,False,综合高低
000056,2022-10-19,2022-10-20,4.4015,4.3534,4.3534,4.4015,4.3559,4.4471,4.3568,False,综合高低
