symbol,date,current_price,predicted_price
002552,2026-07-31,35.05,36.50554567269745
002552,2026-08-03,32.51,33.95204722275551
600827,2026-07-31,8.07,8.043130536931457
600827,2026-08-03,8.09,8.063453149386968
603099,2026-07-31,39.21,39.18268323580376
603099,2026-08-03,39.5,39.4707539038227
