symbol,stock_name,signal_date,combo_id,combo_name,close,pct_change,platform_level,breakout_high,breakout_close,breakout_vol,breakout_vol_ratio,vol_ratio,is_breakout,resonance_score,resonance_ok,position_stage,ma5_score_total
000596,古井贡酒,2026-07-30,4,上涨放量突破,92.59,1.848,98.61,98.94,92.59,119346.47,1.6528,1.6528,False,94.0,True,uptrend,
000957,中通客车,2026-07-30,4,上涨放量突破,10.59,1.8269,10.47,10.69,10.59,153973.39,1.7158,1.7158,True,82.0,True,uptrend,
002661,克明食品,2026-07-30,4,上涨放量突破,7.52,3.4388,7.67,7.67,7.52,61093.99,1.8769,1.8769,False,94.0,True,uptrend,
002946,新乳业,2026-07-30,4,上涨放量突破,17.8,5.0767,17.26,18.24,17.8,180802.0,2.2744,2.2744,True,98.0,True,uptrend,
600059,古越龙山,2026-07-30,4,上涨放量突破,8.15,2.2585,8.1,8.2,8.15,157235.82,1.8343,1.8343,True,98.0,True,uptrend,
600197,伊力特,2026-07-30,4,上涨放量突破,10.51,2.9383,10.51,10.75,10.51,195556.61,3.603,3.603,True,82.0,True,uptrend,
600415,小商品城,2026-07-30,4,上涨放量突破,12.86,1.6601,12.73,13.0,12.86,1584666.48,1.6977,1.6977,True,98.0,True,uptrend,
600597,光明乳业,2026-07-30,4,上涨放量突破,7.1,1.4286,7.07,7.13,7.1,172998.15,1.5302,1.5302,True,98.0,True,uptrend,
600600,青岛啤酒,2026-07-30,4,上涨放量突破,57.45,3.4017,56.15,57.75,57.45,146201.65,2.1395,2.1395,True,98.0,True,uptrend,
600712,南宁百货,2026-07-30,4,上涨放量突破,5.25,10.0629,5.15,5.25,5.25,200408.0,2.4901,2.4901,True,82.0,True,uptrend,
600809,山西汾酒,2026-07-30,4,上涨放量突破,135.96,6.0448,129.8,136.0,135.96,190685.35,1.5978,1.5978,True,98.0,True,uptrend,
600814,杭州解百,2026-07-30,4,上涨放量突破,6.59,0.9188,6.78,6.77,6.59,97222.98,1.8019,1.8019,False,94.0,True,uptrend,
600827,百联股份,2026-07-30,4,上涨放量突破,8.05,3.073,7.97,8.08,8.05,241688.52,1.8335,1.8335,True,98.0,True,uptrend,
601007,金陵饭店,2026-07-30,4,上涨放量突破,6.62,0.4552,6.76,6.79,6.62,128766.4,2.4851,2.4851,False,78.0,True,uptrend,
603043,广州酒家,2026-07-30,4,上涨放量突破,14.19,1.8665,14.03,14.38,14.19,69452.4,2.0324,2.0324,True,98.0,True,uptrend,
603099,长白山,2026-07-30,4,上涨放量突破,37.96,0.5297,38.0,39.05,37.96,90934.05,1.5725,1.5725,True,98.0,True,uptrend,
603345,安井食品,2026-07-30,4,上涨放量突破,90.85,1.7813,90.2,93.3,90.85,87522.15,1.5619,1.5619,True,82.0,True,uptrend,
603589,口子窖,2026-07-30,4,上涨放量突破,20.78,5.5894,20.43,21.48,20.78,206529.34,3.2461,3.2461,True,98.0,True,uptrend,
605108,同庆楼,2026-07-30,4,上涨放量突破,12.76,2.3256,12.86,13.08,12.76,102546.0,2.8104,2.8104,False,94.0,True,uptrend,
605388,均瑶健康,2026-07-30,4,上涨放量突破,6.12,10.0719,5.56,6.12,6.12,148199.04,1.6038,1.6038,True,82.0,True,uptrend,
002187,广百股份,2026-07-29,4,上涨放量突破,5.17,4.0241,5.23,5.23,5.17,222376.0,1.7795,1.7795,False,82.0,True,uptrend,
601949,中国出版,2026-07-29,4,上涨放量突破,5.27,3.9448,5.2,5.32,5.27,180215.0,1.7264,1.7264,True,86.0,True,uptrend,
002891,中宠股份,2026-07-28,4,上涨放量突破,31.69,6.521,31.16,31.75,31.69,180552.24,1.8175,1.8175,True,98.0,True,uptrend,
003032,传智教育,2026-07-28,4,上涨放量突破,6.62,9.9668,6.02,6.62,6.62,350332.56,2.2557,2.2557,True,82.0,True,uptrend,
