symbol,name,group,group_rank,industry
600667,太极实业,M加,1,半导体
000056,*ST皇庭,M加,2,其他商业
600985,淮北矿业,M加,3,煤炭开采
600131,国网信通,Q,1,通信设备
600989,宝丰能源,Q,2,化工原料
000933,神火股份,Q,3,铝
600566,济川药业,M减,1,中成药
603031,安孚科技,M减,2,电气设备
603501,豪威集团,M减,3,半导体
002649,博彦科技,量能,1,软件服务
603099,长白山,量能,2,旅游景点
002226,江南化工,量能,3,化工原料
600050,中国联通,估值因子,1,电信运营
000915,华特达因,估值因子,2,化学制药
002268,电科网安,23M减,1,IT设备
000028,国药一致,23M减,2,医药商业
601168,西部矿业,23M减,3,铜
