track,total_return,annual_return,max_drawdown,sharpe,avg_day_return,trade_days,n_buy,n_sell,n_roundtrips,win_rate,avg_hold_calendar_days,skipped_switches,end_equity,end_holding,end_holding_name
1,0.49497079999999993,0.8913694531767671,-0.3577405464442752,1.5555833388550913,0.0031823308900079945,159,22,21,21,0.5238095238095238,11.0,5,149497.08,000933,神火股份
2,0.4636192000000001,0.8288914470405446,-0.260572530508973,1.387669473493185,0.0031033313556508664,159,30,29,29,0.6551724137931034,7.9655172413793105,1,146361.92,000915,华特达因
3,0.21815279999999992,0.3671910820372457,-0.34690148834676715,0.6120442905834854,0.0019505618229475276,159,31,30,30,0.5333333333333333,7.7,1,121815.28,600989,宝丰能源
